episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-5.7405986630953976e-09,7.0,2.000577449798584,-0.8435893643103575,0.0,8.389193661479999e-06,1.0213818690575889e-05,0.030650849167038967,0.030650852016889118,0.0,13.0,2.0,0.6647857365055965,0.7470340852589737,0.0,0.9,0.04520576447248459,0.055341120809316635,0.0029097250662744045,0.41814589500427246,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.6647857365055965,0.7470340852589737,0.0,0.9,2.2770595073471402,2.6,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,0,0.0,13.0,2.0,0.0,13.0,2.0,1,
1,0.066667,0.033333,8.287847208521271e-07,7.000004768371582,2.00181245803833,-0.8435392873175649,0.004402362275868654,0.0002310532624041294,0.00016909637059215986,0.041003477797909735,0.04100447744717998,0.0,13.0,2.0,0.6648231425283,0.7470007897561716,-9.624163265161399e-05,0.9,0.11272140592336655,0.05807429924607277,-0.00020181527361273766,0.6521159410476685,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6647857365055965,0.7470340852589737,0.0,0.9,2.2770595082295104,2.5999952316285326,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,0,0.0,13.0,2.0,0.0,13.0,2.0,1,
2,0.1,0.033333,2.5736357201822102e-05,7.000052452087402,2.003204107284546,-0.8431440786713426,0.021690769121050835,0.002624216214968576,0.0008650363585891794,0.04161562051804142,0.04170724960658777,0.0,13.0,2.0,0.6651181806443024,0.7467380494699337,-0.00030207656600829094,0.9,0.14314621686935425,0.061336908489465714,-0.002184833399951458,0.8369809985160828,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6647857365055965,0.7470340852589737,0.0,0.9,2.277054668250633,2.599947548022993,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,0,0.0,13.0,2.0,0.0,13.0,2.0,1,
3,0.133333,0.033333,0.0001601526455488056,7.000255107879639,2.0045368671417236,-0.8418892320039278,0.05440262705087662,0.010404813898779728,0.0025087253868509535,0.038399479332493346,0.039863189389980506,0.0,13.0,2.0,0.6660515374349407,0.7459055330942048,-0.00053402247303936,0.9,0.14776639640331268,0.05072113126516342,-0.0035510514862835407,0.8914839029312134,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6647857365055965,0.7470340852589737,0.0,0.9,2.2770037227835687,2.5997448963955367,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,0,0.0,13.0,2.0,0.0,13.0,2.0,1,
4,0.166667,0.033333,0.0005348646664060652,7.000770092010498,2.005723714828491,-0.8392526724838393,0.10099514573812485,0.02465850809869321,0.00487171705208283,0.03469358685564604,0.042841809224157756,0.0,13.0,2.0,0.6679990768554673,0.7441617173151327,-0.0007561764582638789,0.9,0.14688123762607574,0.03454437851905823,-0.0029107448644936085,0.7968417406082153,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6647857365055965,0.7470340852589737,0.0,0.9,2.2767828175780496,2.5992299556817793,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,0,0.0,13.0,2.0,0.0,13.0,2.0,1,
5,0.2,0.033333,0.0012783578131347895,7.001723766326904,2.006754159927368,-0.834913237381871,0.1595637947320938,0.043624727454439974,0.006792400293197911,0.03134091389244199,0.05414338769259518,0.0,13.0,2.0,0.6711756033113015,0.7412977804240227,-0.0009540744876423212,0.9,0.15427960455417633,0.017699383199214935,-0.003598753595724702,0.652458906173706,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6647857365055965,0.7470340852589737,0.0,0.9,2.2762163912528597,2.5982765061961217,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,0,0.0,13.0,2.0,0.0,13.0,2.0,1,
6,0.233333,0.033333,0.002483121119439602,7.0031561851501465,2.0076074600219727,-0.8287401417280218,0.22299601137638092,0.06437570998839798,0.0067691656453167616,0.026449774029236393,0.06992599077769102,0.0,13.0,2.0,0.6756473822552168,0.7372240819041795,-0.0011260160801232968,0.9,0.1630798876285553,0.0023557005915790796,-0.007948506623506546,0.6102709174156189,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.6756478105864079,0.7372245492723325,0.0,0.9,2.2751599518778423,2.5968448435803806,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,0,0.0,13.0,2.0,0.0,13.0,2.0,1,
7,0.266667,0.033333,0.004201489966362715,7.00501823425293,2.0082316398620605,-0.8207904752788326,0.27934730052948,0.08444352522273074,0.0036877389410848466,0.019829398102666082,0.0868188539411433,0.0,13.0,2.0,0.6813394651211221,0.7319664773628133,-0.0012685761849718586,0.9,0.1664046198129654,-0.005317908711731434,-0.01218237541615963,0.6710821390151978,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6756473822552168,0.7372240819041795,-0.0011260160801232968,0.9,2.273560007881017,2.594984712761549,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,0,0.0,13.0,2.0,0.0,13.0,2.0,1,
8,0.3,0.033333,0.006456152070313692,7.007211685180664,2.0086121559143066,-0.8111999614463061,0.3266950249671936,0.10231113471848322,-0.0025993094460175217,0.013235702255744216,0.10319645590417574,0.0,13.0,2.0,0.6881198174814973,0.7255957768771701,-0.0013730867586114483,0.9,0.1618645191192627,-0.006043936591595411,-0.014151196926832199,0.7633114457130432,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6756473822552168,0.7372240819041795,-0.0011260160801232968,0.9,2.258397670046529,2.5927952785345534,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,0,0.0,13.0,2.0,0.0,13.0,2.0,1,
9,0.333333,0.033333,0.009238988161087036,7.00963020324707,2.0087881088256836,-0.7999721587383506,0.3693806827068329,0.11717174118570457,-0.011099409439516775,0.007741942306073531,0.11795063159248592,0.0,13.0,2.0,0.6959527573319372,0.7180861329609265,-0.0014370843038688252,0.9,0.15152661502361298,-0.0017403482925146818,-0.014575177803635597,0.8583950996398926,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6756473822552168,0.7372240819041795,-0.0011260160801232968,0.9,2.2559727460575747,2.5903840690176234,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,0,0.0,13.0,2.0,0.0,13.0,2.0,1,
