episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,6.235195915138547e-09,4.0,2.000577211380005,-0.9006756892343327,0.0,9.357785006988797e-06,1.0891969668846862e-05,0.030634292900176028,0.030634296265736525,0.0,16.0,2.0,0.6210805408512841,0.7837467459427673,0.0,0.9,0.05044154077768326,0.05896512418985367,0.002370354952290654,0.4284406304359436,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.6210805408512841,0.7837467459427673,0.0,0.9,4.825453346577915,5.6,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,1,0.0,16.0,2.0,0.0,16.0,2.0,1,
1,0.066667,0.033333,1.2249074643477798e-06,4.000004768371582,2.0018107891082764,-0.9006254970917691,0.004409282933920622,0.00024789978937954447,0.00017959046031162997,0.04091709988614603,0.04091824495419936,0.0,16.0,2.0,0.6211198768715834,0.7837155710085948,-4.810094827809462e-05,0.9,0.11887195706367493,0.061464741826057434,-0.0008105812594294548,0.6720985174179077,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6210805408512841,0.7837467459427673,0.0,0.9,4.82545334547959,5.599995231628543,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,1,0.0,16.0,2.0,0.0,16.0,2.0,1,
2,0.1,0.033333,2.9662938686669804e-05,4.000053405761719,2.003197193145752,-0.900229400057516,0.021733993664383888,0.0027169482272893977,0.0009103226658920987,0.04137237542625615,0.0414714834969391,0.0,16.0,2.0,0.6214301696298719,0.783469540890541,-0.0001508991506002703,0.9,0.14544036984443665,0.06661064177751541,-0.0029911785386502743,0.8902722001075745,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6210805408512841,0.7837467459427673,0.0,0.9,4.825448437000599,5.599946594311605,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,1,0.0,16.0,2.0,0.0,16.0,2.0,1,
3,0.133333,0.033333,0.0001768222136888653,4.000253677368164,2.0045173168182373,-0.898968929049693,0.05455804243683815,0.010586889483143146,0.0026722025464225767,0.037896697993167396,0.03943833939408114,0.0,16.0,2.0,0.622415346497919,0.7826870801647564,-0.0002664339384474974,0.9,0.1454249918460846,0.058333393186330795,-0.004629040602594614,0.9984612464904785,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6210805408512841,0.7837467459427673,0.0,0.9,4.808788636921746,5.5997463252374535,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,1,0.0,16.0,2.0,0.0,16.0,2.0,1,
4,0.166667,0.033333,0.0005754497251473367,4.000756740570068,2.0056803226470947,-0.8963100862320412,0.10129933059215546,0.024699778847757287,0.005364778565882441,0.03368167210213603,0.042110746369363704,0.0,16.0,2.0,0.6244845855603851,0.7810370418117946,-0.0003764509995632578,0.9,0.13956086337566376,0.04396023228764534,-0.0048671322874724865,0.982292890548706,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6210805408512841,0.7837467459427673,0.0,0.9,4.808567866558629,5.599243287028611,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,1,0.0,16.0,2.0,0.0,16.0,2.0,1,
5,0.2,0.033333,0.0013439871836453676,4.001680850982666,2.006669282913208,-0.8919166730555499,0.16000446677207947,0.042986191246966954,0.007950162800357511,0.02972321563706173,0.052862910194958784,0.0,16.0,2.0,0.6278840838678702,0.7783067217538948,-0.0004733900197934407,0.9,0.14450189471244812,0.031684983521699905,-0.005539925768971443,0.9112070202827454,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6210805408512841,0.7837467459427673,0.0,0.9,4.808008807582959,5.598319299584641,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,1,0.0,16.0,2.0,0.0,16.0,2.0,1,
6,0.233333,0.033333,0.0025521370116621256,4.003056049346924,2.0074729919433594,-0.885589695186396,0.22850602865219116,0.06235730868893436,0.009047796771772872,0.02452623940461916,0.0676153310476481,0.0,16.0,2.0,0.6327461841311876,0.774359062384307,-0.000555851345361731,0.9,0.15090849995613098,0.0231951754540205,-0.009643268771469593,0.9402191638946533,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.6327462818812316,0.7743591820114726,0.0,0.9,4.806976239430645,5.596944493713265,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,1,0.0,16.0,2.0,0.0,16.0,2.0,1,
7,0.266667,0.033333,0.004220554605126381,4.004833221435547,2.0080466270446777,-0.8770372350750103,0.30442139506340027,0.08042399472450648,0.007736801055188946,0.01739656056919232,0.08264694390993896,0.0,16.0,2.0,0.6392681653157761,0.7689836310349113,-0.000622907830126515,0.9,0.14462007582187653,0.02250899374485016,-0.015224546194076538,1.1156749725341797,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6327461841311876,0.774359062384307,-0.000555851345361731,0.9,4.790894029920721,5.595168264184421,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,1,0.0,16.0,2.0,0.0,16.0,2.0,1,
8,0.3,0.033333,0.006332802586257458,4.0069193840026855,2.0083656311035156,-0.8658812562809474,0.3854837417602539,0.09567012447517739,0.004068752921893817,0.009751137361140295,0.09625181633232269,0.0,16.0,2.0,0.6477009622022922,0.7618943585299325,-0.0006708222473790983,0.9,0.12390773743391037,0.02382698468863964,-0.01853605918586254,1.2935503721237183,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6327461841311876,0.774359062384307,-0.000555851345361731,0.9,4.788907897264914,5.593083961887348,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,1,0.0,16.0,2.0,0.0,16.0,2.0,1,
9,0.333333,0.033333,0.008833500556647778,4.009214401245117,2.0084662437438965,-0.8518170131767466,0.4698191285133362,0.10690517011128707,-0.0010227695298037113,0.003343872513297052,0.10696234354865035,0.0,16.0,2.0,0.6582193816790729,0.7528258490666614,-0.000697537869536229,0.9,0.10776904225349426,0.019414151087403297,-0.018549608066678047,1.3815491199493408,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6327461841311876,0.774359062384307,-0.000555851345361731,0.9,4.774137382961783,5.5907921113139105,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,1,0.0,16.0,2.0,0.0,16.0,2.0,1,
