episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,6.908562966145837e-08,1.0,2.0005760192871094,-1.2237259338527644,0.0,1.1991617684910882e-05,1.4607963480469212e-05,0.03058249091471903,0.030582496754522244,0.0,19.0,2.0,0.3401443469865824,0.940373236121207,0.0,0.9,0.06451240181922913,0.07903571426868439,0.0007388461381196976,0.5258595943450928,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.3401443469865824,0.940373236121207,0.0,0.9,inf,8.6,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,2,0.0,19.0,2.0,0.0,19.0,2.0,1,
1,0.066667,0.033333,3.149690201098565e-06,1.0000056028366089,2.001814842224121,-1.2236753037058223,0.004440379329025745,0.0002843823020415413,0.00023245134393751275,0.04146747283332067,0.0414690994609625,0.0,19.0,2.0,0.3401919540023608,0.9403560141818561,-3.200107148969074e-05,0.9,0.13068483769893646,0.07772576063871384,-0.00039849430322647095,0.78083336353302,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.3401443469865824,0.940373236121207,0.0,0.9,inf,8.599994397163941,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,2,0.0,19.0,2.0,0.0,19.0,2.0,1,
2,0.1,0.033333,4.618875027517788e-05,1.0000460147857666,2.003230571746826,-1.2232803808809485,0.021520281210541725,0.0027819026972941115,0.0010522059093452702,0.042451897130370626,0.04255595951051325,0.0,19.0,2.0,0.3405631330467291,0.9402216452750896,-0.00010082459887779666,0.9,0.13504931330680847,0.07671715319156647,-0.0026531461626291275,1.0074591636657715,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.3401443469865824,0.940373236121207,0.0,0.9,inf,8.599953985332757,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,2,0.0,19.0,2.0,0.0,19.0,2.0,1,
3,0.133333,0.033333,0.0002412385365460068,1.0001899003982544,2.0045809745788574,-1.2220413951304907,0.05358567088842392,0.010050841880322117,0.0027379304445028637,0.03840661682907042,0.039794269711570386,0.0,19.0,2.0,0.34172554168402713,0.9397997775850371,-0.00017947666407579997,0.9,0.10753397643566132,0.06409896910190582,-0.005692736711353064,1.160849928855896,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.3401443469865824,0.940373236121207,0.0,0.9,inf,8.599810102834926,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,2,0.0,19.0,2.0,0.0,19.0,2.0,1,
4,0.166667,0.033333,0.0007196260849013925,1.0005106925964355,2.0057435035705566,-1.2194612039845836,0.09993476420640945,0.021469557580189206,0.0049063250550666375,0.03244522156029824,0.039213598793427215,0.0,19.0,2.0,0.3441390846350807,0.9389186469847295,-0.0002545012644433647,0.9,0.06995565444231033,0.04617222025990486,-0.008531682193279266,1.2554032802581787,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.3401443469865824,0.940373236121207,0.0,0.9,inf,8.599489336175292,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,2,0.0,19.0,2.0,0.0,19.0,2.0,1,
5,0.2,0.033333,0.0015410514315590262,1.0010285377502441,2.0066840648651123,-1.2151814415252022,0.15931294858455658,0.03323397210942953,0.006395219064169771,0.02591446235485879,0.04262575615974987,0.0,19.0,2.0,0.3481293476096087,0.9374464547443981,-0.0003190925684320365,0.9,0.036463089287281036,0.030095543712377548,-0.011336632072925568,1.3276482820510864,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.3401443469865824,0.940373236121207,0.0,0.9,inf,8.598971594200362,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,2,0.0,19.0,2.0,0.0,19.0,2.0,1,
6,0.233333,0.033333,0.0026479684747755527,1.0016794204711914,2.0074031352996826,-1.20886701030253,0.22926485538482666,0.04080376254700976,0.005925188518314785,0.018718174924676,0.045281618450328104,0.0,19.0,2.0,0.3539991199166931,0.9352456817282538,-0.00037135812975440754,0.9,0.015266310423612595,0.010903422720730305,-0.014418036676943302,1.386828064918518,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.35399914432614926,0.9352457462166583,0.0,0.9,inf,8.59832096914245,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,2,0.0,19.0,2.0,0.0,19.0,2.0,1,
7,0.266667,0.033333,0.003887360915541649,1.0023272037506104,2.0079100131988525,-1.20009017975019,0.3069807291030884,0.04137253647935605,0.0026754893729660553,0.011801205032206274,0.04310584018822359,0.0,19.0,2.0,0.3621365381236843,0.9321249693944815,-0.0004113236321462178,0.9,0.008085360750555992,-0.010317163541913033,-0.015955541282892227,1.4221954345703125,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.3539991199166931,0.9352456817282538,-0.00037135812975440754,0.9,inf,8.59767363599843,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,2,0.0,19.0,2.0,0.0,19.0,2.0,1,
8,0.3,0.033333,0.005080352071672678,1.0028023719787598,2.0082411766052246,-1.1884839127060072,0.3896285593509674,0.03503656079950147,-0.0035857575239068348,0.006925698604099843,0.035894060105151775,0.0,19.0,2.0,0.3728664895482096,0.9278849000873076,-0.0004395019478314026,0.9,0.003331357380375266,-0.024856366217136383,-0.015373814851045609,1.438126564025879,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.3539991199166931,0.9352456817282538,-0.00037135812975440754,0.9,inf,8.597199062355362,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,2,0.0,19.0,2.0,0.0,19.0,2.0,1,
9,0.333333,0.033333,0.006093322765082121,1.0029468536376953,2.0084521770477295,-1.1738966312675239,0.47496840357780457,0.02408857692720744,-0.012394721862479087,0.0044920851339492,0.027460289460908,0.0,19.0,2.0,0.3863005080177354,0.9223728681068569,-0.0004579143699580951,0.9,-0.00463360408321023,-0.033259570598602295,-0.013807266019284725,1.4446296691894531,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.3539991199166931,0.9352456817282538,-0.00037135812975440754,0.9,inf,8.597055209736693,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,2,0.0,19.0,2.0,0.0,19.0,2.0,1,
