episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,1.2328778886683267e-08,6.0,2.000577211380005,-0.9312622740672618,0.0,1.0003052639593324e-05,1.1562468945395728e-05,0.03062204110739124,0.030622044924114866,0.0,18.0,2.0,0.5968216422177409,0.8023739323909512,0.0,0.9,0.053908150643110275,0.06257367134094238,0.0019758655689656734,0.4503042697906494,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.5968216422177409,0.8023739323909512,0.0,0.9,4.334166586553867,5.0,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,4,0.0,18.0,2.0,0.0,18.0,2.0,1,
1,0.066667,0.033333,1.4178402807374368e-06,6.000004768371582,2.0018112659454346,-0.9312118722629866,0.004415109753608704,0.0002588925477287369,0.00019146907674257108,0.04098587021135122,0.040987135088224276,0.0,18.0,2.0,0.5968620810387474,0.8023438501692367,-4.810094827809462e-05,0.9,0.12308305501937866,0.06594514101743698,-0.0008077407255768776,0.7045232653617859,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.5968216422177409,0.8023739323909512,0.0,0.9,4.334166584135995,4.999995231628586,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,4,0.0,18.0,2.0,0.0,18.0,2.0,1,
2,0.1,0.033333,3.144194488413632e-05,6.000053882598877,2.0032026767730713,-0.9308132949027318,0.02190578728914261,0.002775479297656995,0.0009837882304203082,0.041624648469992115,0.04172867700831712,0.0,18.0,2.0,0.5971817296549015,0.8021059524675231,-0.00015093888704455257,0.9,0.14721858501434326,0.07124730944633484,-0.0027045479509979486,0.927444577217102,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.5968216422177409,0.8023739323909512,0.0,0.9,4.334161632719507,4.999946117483507,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,4,0.0,18.0,2.0,0.0,18.0,2.0,1,
3,0.133333,0.033333,0.0001840521872509271,6.000256061553955,2.0045325756073,-0.9295405845577587,0.05489804223179817,0.010697552543742592,0.0029027532797034615,0.0381875235200377,0.03976368392921354,0.0,18.0,2.0,0.5982000747929002,0.8013467409848285,-0.00026689091998101025,0.9,0.1433829367160797,0.061668746173381805,-0.004496741574257612,1.041946291923523,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.5968216422177409,0.8023739323909512,0.0,0.9,4.334107584093313,4.9997439412691,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,4,0.0,18.0,2.0,0.0,18.0,2.0,1,
4,0.166667,0.033333,0.000592257478274405,6.000757217407227,2.0057027339935303,-0.926861130961167,0.10170883685350418,0.024690233674086466,0.005822151269123965,0.03378002223746466,0.042244466935270494,0.0,18.0,2.0,0.6003349037834742,0.799748623396673,-0.00037772266697320213,0.9,0.13289184868335724,0.04704169183969498,-0.005122874863445759,1.0447964668273926,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.5968216422177409,0.8023739323909512,0.0,0.9,4.333879403896211,4.999242811827206,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,4,0.0,18.0,2.0,0.0,18.0,2.0,1,
5,0.2,0.033333,0.001368647557683289,6.001667499542236,2.0066919326782227,-0.9224512799487561,0.160478875041008,0.0424179816142257,0.008631614964278523,0.029441729043909536,0.05235079130453839,0.0,18.0,2.0,0.6038286848432809,0.797113977728711,-0.00047525776800003914,0.9,0.13375049829483032,0.036602649837732315,-0.006186762824654579,1.005265235900879,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.5968216422177409,0.8023739323909512,0.0,0.9,4.333307944108361,4.998332656600835,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,4,0.0,18.0,2.0,0.0,18.0,2.0,1,
6,0.233333,0.033333,0.0025689450558274984,6.003002166748047,2.0074875354766846,-0.916106287650377,0.2290213406085968,0.060567465776556494,0.009964910243087512,0.023765855817315915,0.06582198150676248,0.0,18.0,2.0,0.6088228172379568,0.7933060356118804,-0.0005577384685407499,0.9,0.13593840599060059,0.02979741431772709,-0.010566765442490578,1.0565037727355957,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.6088229119319053,0.7933061589996357,0.0,0.9,4.332263173768855,4.996998383483801,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,4,0.0,18.0,2.0,0.0,18.0,2.0,1,
7,0.266667,0.033333,0.004192925989627838,6.004696846008301,2.0080490112304688,-0.9075050049433241,0.3049158453941345,0.07665923219878558,0.009020770256830889,0.016285821491694864,0.07888751586273457,0.0,18.0,2.0,0.6155447812462979,0.7881016639736578,-0.0006241172959111715,0.9,0.12570637464523315,0.026388436555862427,-0.01606675609946251,1.2092453241348267,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6088228172379568,0.7933060356118804,-0.0005577384685407499,0.9,4.312266663547344,4.995304620191635,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,4,0.0,18.0,2.0,0.0,18.0,2.0,1,
8,0.3,0.033333,0.006201340351253748,6.006649494171143,2.0083608627319336,-0.896274411145057,0.38598883152008057,0.08924976230682828,0.005864071977650777,0.008675495302745015,0.08986195875192331,0.0,18.0,2.0,0.6242508244633913,0.7812236926116736,-0.0006710133810993381,0.9,0.1079748272895813,0.02073422446846962,-0.018779251724481583,1.3321301937103271,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6088228172379568,0.7933060356118804,-0.0005577384685407499,0.9,4.310316352767599,4.993353714102078,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,4,0.0,18.0,2.0,0.0,18.0,2.0,1,
9,0.333333,0.033333,0.00852433405816555,6.008749961853027,2.008469343185425,-0.8821603585065466,0.4706694185733795,0.09752135759075474,0.0011419823614932773,0.002660330293618298,0.09756432066759327,0.0,18.0,2.0,0.6350851143412329,0.7724418499534357,-0.0006971245923805281,0.9,0.09521818906068802,0.011939842253923416,-0.018589269369840622,1.3899732828140259,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6088228172379568,0.7933060356118804,-0.0005577384685407499,0.9,4.291911023015685,4.991256102343417,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,4,0.0,18.0,2.0,0.0,18.0,2.0,1,
