episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-1.6460802498841076e-07,3.0,2.000579357147217,1.3035222379203169,0.0,2.1190582364007548e-05,-2.0686275263728716e-05,0.030804166228604588,0.030804180463084366,0.0,21.0,2.0,0.2641032951480664,-0.964494400964533,0.0,0.9,0.11504384875297546,-0.11230810731649399,0.009001233614981174,-0.6830913424491882,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.2641032951480664,-0.964494400964533,0.0,0.9,inf,8.000000000000002,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,5,0.0,21.0,2.0,0.0,21.0,2.0,1,
1,0.066667,0.033333,-5.344194505596533e-06,3.000007390975952,2.0018112659454346,1.3034701795230639,-0.004551374353468418,0.00039513329655476717,-0.0002972974960654684,0.04032289124015357,0.04032592310274454,0.0,21.0,2.0,0.2641534958659499,-0.9644806527794253,-3.218650816203879e-05,0.9,0.1532071828842163,-0.08951031416654587,0.0009476695558987558,-1.0383436679840088,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.2641032951480664,-0.964494400964533,0.0,0.9,inf,7.999992609025634,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,5,0.0,21.0,2.0,0.0,21.0,2.0,1,
2,0.1,0.033333,-5.1931430789409205e-05,3.0000412464141846,2.0031213760375977,1.3030922725292797,-0.019942447543144226,0.002682778389195953,-0.0007986826480256109,0.036790317459432426,0.0368966482573094,0.0,21.0,2.0,0.2645176822714553,-0.9643808301911442,-0.00010062592666601323,0.9,0.13230907917022705,-0.061332374811172485,-0.00951941404491663,-1.245731234550476,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.2641032951480664,-0.964494400964533,0.0,0.9,inf,7.999958753735642,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,5,0.0,21.0,2.0,0.0,21.0,2.0,1,
3,0.133333,0.033333,-0.00022938044276088476,3.000115156173706,2.0041935443878174,1.301976318019884,-0.0503782294690609,0.008095885697449805,-0.00043751190501690215,0.02726169970208958,0.028441783568196193,0.0,21.0,2.0,0.26559122459394197,-0.9640857178423513,-0.00017341017462227577,0.9,0.09186030924320221,-0.03768583759665489,-0.018547985702753067,-1.3633159399032593,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.2641032951480664,-0.964494400964533,0.0,0.9,inf,7.999884846749408,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,5,0.0,21.0,2.0,0.0,21.0,2.0,1,
4,0.166667,0.033333,-0.0006201456417329609,3.000194787979126,2.004920482635498,1.2996559683920181,-0.09720644354820251,0.01479138891988131,0.002298432908627335,0.017014186009976243,0.022661652755188003,0.0,21.0,2.0,0.26781802209771655,-0.9634694871981001,-0.00023297617235072573,0.9,0.05546357110142708,-0.01887066662311554,-0.023932086303830147,-1.4240057468414307,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.2641032951480664,-0.964494400964533,0.0,0.9,inf,7.999805233386926,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,5,0.0,21.0,2.0,0.0,21.0,2.0,1,
5,0.2,0.033333,-0.0012282109819352627,3.000187397003174,2.0053365230560303,1.2956147596593284,-0.15784971415996552,0.019150258665858295,0.008225011439271627,0.009125074100372716,0.022751927335562645,0.0,21.0,2.0,0.2716885103049127,-0.9623852028376768,-0.0002733630942541687,0.9,0.028657961636781693,-0.004139245487749577,-0.02388254553079605,-1.4499824047088623,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.2641032951480664,-0.964494400964533,0.0,0.9,inf,7.999812686804249,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,5,0.0,21.0,2.0,0.0,21.0,2.0,1,
6,0.233333,0.033333,-0.0019613346084952354,2.999964952468872,2.005547523498535,1.2893108566469051,-0.22867454588413239,0.018309374802387902,0.017028790768870063,0.00464372106571939,0.025431812087235887,0.0,21.0,2.0,0.2777174002439262,-0.960662770020466,-0.00029647657599405383,0.9,0.009173840284347534,0.006729878950864077,-0.020784340798854828,-1.4589115381240845,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.27771741244937903,-0.9606628122408097,0.0,0.9,inf,8.000035261243262,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,5,0.0,21.0,2.0,0.0,21.0,2.0,1,
7,0.266667,0.033333,-0.0026658179704099894,2.999401807785034,2.0056521892547607,1.2803851312662617,-0.3064917325973511,0.011440011717974114,0.027521838037813263,0.00274447080277619,0.029930879657542653,0.0,21.0,2.0,0.28624181108696345,-0.9581573621286927,-0.0003081951333700213,0.9,-0.0034636794589459896,0.014863723888993263,-0.018048765137791634,-1.4606528282165527,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.2777174002439262,-0.960662770020466,-0.00029647657599405383,0.9,inf,8.00059858699902,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,5,0.0,21.0,2.0,0.0,21.0,2.0,1,
8,0.3,0.033333,-0.0031840549781918526,2.998413562774658,2.005699396133423,1.2687433982564642,-0.38889220356941223,-0.0003689824523249836,0.03817419282257114,0.0018917037966758163,0.038222816339973216,0.0,21.0,2.0,0.29733941072940284,-0.9547717927500027,-0.0003140000600969103,0.9,-0.011610342189669609,0.021174738183617592,-0.016675742343068123,-1.4603098630905151,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.2777174002439262,-0.960662770020466,-0.00029647657599405383,0.9,inf,8.001587000359732,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,5,0.0,21.0,2.0,0.0,21.0,2.0,1,
9,0.333333,0.033333,-0.0034033553674817085,2.99697208404541,2.0056965351104736,1.254401988887207,-0.4742284417152405,-0.01491722819899437,0.047617172652359596,0.0010249315011146027,0.049909611430339465,0.0,21.0,2.0,0.31097378378721285,-0.9504184370887462,-0.00031660519357522624,0.9,-0.018751492723822594,0.025217078626155853,-0.015945712104439735,-1.4608074426651,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.2777174002439262,-0.960662770020466,-0.00029647657599405383,0.9,inf,8.003028559228577,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,5,0.0,21.0,2.0,0.0,21.0,2.0,1,
