episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,1.1398699228948317e-07,7.0,2.0005784034729004,2.705233806836048,0.0,-7.543118970996549e-06,7.930587982955992e-06,0.030767898284368544,0.030767900231086914,0.0,19.0,2.0,-0.9062965730681285,-0.42264230934084956,0.0,0.9,-0.04084771126508713,0.04301101341843605,0.006543678231537342,-0.10259275138378143,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,-0.9062965730681285,-0.42264230934084956,0.0,0.9,inf,3.500000000000001,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,7,0.0,19.0,2.0,0.0,19.0,2.0,1,
1,0.066667,0.033333,3.1725605822430225e-06,7.0,2.001826524734497,2.7051853241446207,-0.004092505667358637,-0.00011231296951054264,0.00013599026263396043,0.04167890762552795,0.041679280804878864,0.0,19.0,2.0,-0.9062760760984889,-0.4226862566588347,-4.8200289352374796e-05,0.9,-0.03554737940430641,0.04995797574520111,0.0025794878602027893,-0.3208328187465668,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.9062965730681285,-0.42264230934084956,0.0,0.9,inf,3.5000000000008393,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,7,0.0,19.0,2.0,0.0,19.0,2.0,1,
2,0.1,0.033333,2.232457154605072e-05,7.0,2.0032267570495605,2.704847837822462,-0.01807941310107708,-0.00043561868363447225,0.0007852941766975758,0.040965775699190445,0.04097561749648038,0.0,19.0,2.0,-0.9061332564031531,-0.42299231490916483,-0.0001522103927782117,0.9,-0.06471604853868484,0.05022158473730087,-0.0045677898451685905,-0.6818195581436157,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.9062965730681285,-0.42264230934084956,0.0,0.9,inf,3.500000000041532,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,7,0.0,19.0,2.0,0.0,19.0,2.0,1,
3,0.133333,0.033333,9.064562618732452e-05,7.000010967254639,2.004478693008423,2.703814652383812,-0.0460989885032177,-0.0018173541197369777,0.002434367147736489,0.033318178241954585,0.03345638834018339,0.0,19.0,2.0,-0.905695044501725,-0.42392972773767434,-0.0002688964110749313,0.9,-0.09116784483194351,0.055881984531879425,-0.015144668519496918,-1.0684599876403809,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.9062965730681285,-0.42264230934084956,0.0,0.9,inf,3.499989033430082,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,7,0.0,19.0,2.0,0.0,19.0,2.0,1,
4,0.166667,0.033333,0.0002698341850191355,7.000074863433838,2.0053908824920654,2.7015798165554297,-0.08918558061122894,-0.006143885497573023,0.0053484613141336675,0.021025435358644012,0.022548221647318227,0.0,19.0,2.0,-0.9047429147530632,-0.4259578839597063,-0.00037322473246768017,0.9,-0.10774345695972443,0.06577444076538086,-0.028944838792085648,-1.2857515811920166,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.9062965730681285,-0.42264230934084956,0.0,0.9,inf,3.4999251426337787,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,7,0.0,19.0,2.0,0.0,19.0,2.0,1,
5,0.2,0.033333,0.000648919609375298,7.000279903411865,2.0058443546295166,2.697634272539725,-0.1457524448633194,-0.014859138095148529,0.009702684095482965,0.006944604702753994,0.019056851735398093,0.0,19.0,2.0,-0.9030487991246647,-0.4295377335930562,-0.00044924296488179705,0.9,-0.11589356511831284,0.07200636714696884,-0.040396466851234436,-1.3731446266174316,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.9062965730681285,-0.42264230934084956,0.0,0.9,inf,3.49972013168116,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,7,0.0,19.0,2.0,0.0,19.0,2.0,1,
6,0.233333,0.033333,0.0013300711289048195,7.00072717666626,2.005833864212036,2.6915526775660044,-0.21280474960803986,-0.027852121745636515,0.015421622690581983,-0.004780284131946326,0.032193450397970225,0.0,19.0,2.0,-0.9004060813646432,-0.43505017116738803,-0.0004870408543501321,0.9,-0.12105868756771088,0.07145286351442337,-0.04434336721897125,-1.3983631134033203,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,-0.9004061881567825,-0.4350502227662604,0.0,0.9,inf,3.499272970775708,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,7,0.0,19.0,2.0,0.0,19.0,2.0,1,
7,0.266667,0.033333,0.0024031116627156734,7.001499652862549,2.0054757595062256,2.6830713683258725,-0.28752264380455017,-0.0436479081121765,0.021876364166259633,-0.011726635557906847,0.05021184295773039,0.0,19.0,2.0,-0.8966588158219405,-0.4427219574780338,-0.0004861847524093394,0.9,-0.12589529156684875,0.06769174337387085,-0.0421554259955883,-1.3902931213378906,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.9004060813646432,-0.43505017116738803,-0.0004870408543501321,0.9,inf,3.498500828503217,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,7,0.0,19.0,2.0,0.0,19.0,2.0,1,
8,0.3,0.033333,0.003917747177183628,7.002641201019287,2.0049216747283936,2.672075091076367,-0.3678295314311981,-0.060381302858055604,0.028012691914091337,-0.014842724353244689,0.06819764738857516,0.0,19.0,2.0,-0.8916959431400518,-0.4526346614144253,-0.00045637026859581426,0.9,-0.13196176290512085,0.06486616283655167,-0.038752611726522446,-1.3638651371002197,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.9004060813646432,-0.43505017116738803,-0.0004870408543501321,0.9,inf,3.4973600786057792,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,7,0.0,19.0,2.0,0.0,19.0,2.0,1,
9,0.333333,0.033333,0.005871221423149109,7.004156589508057,2.004270315170288,2.658471969633067,-0.4520838260650635,-0.07661556344953435,0.03283071954473402,-0.016461505961981114,0.08496341499169476,0.0,19.0,2.0,-0.885397719945328,-0.46483406633671864,-0.0004102297959338086,0.9,-0.1410132348537445,0.06300950050354004,-0.03673974797129631,-1.3391786813735962,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.9004060813646432,-0.43505017116738803,-0.0004870408543501321,0.9,inf,3.495846285086089,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,7,0.0,19.0,2.0,0.0,19.0,2.0,1,
