episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-2.1497976376849692e-07,4.0,2.000579595565796,1.6247756266942057,0.0,1.8512488060837694e-05,-1.963485200827685e-05,0.03083993274921972,0.030839944555981654,0.0,22.0,2.0,-0.053953089887269726,-0.9985434713078927,0.0,0.9,0.10046631842851639,-0.10679183900356293,0.010077300481498241,-0.7096672654151917,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,-0.053953089887269726,-0.9985434713078927,0.0,0.9,inf,6.500000000000002,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,8,0.0,22.0,2.0,0.0,22.0,2.0,1,
1,0.066667,0.033333,-6.484024197561666e-06,4.000004291534424,2.0018062591552734,1.624724039847659,-0.004519560374319553,0.0003471402916312956,-0.00027722478342498056,0.03981450892081747,0.03981698733666916,0.0,22.0,2.0,-0.05390159000469256,-0.9985462520875744,-3.2199753638634945e-05,0.9,0.1341482549905777,-0.08184828609228134,2.0884908735752106e-06,-1.0734331607818604,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.053953089887269726,-0.9985434713078927,0.0,0.9,inf,6.499995708467912,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,8,0.0,22.0,2.0,0.0,22.0,2.0,1,
2,0.1,0.033333,-5.447215153253637e-05,4.0000200271606445,2.0030791759490967,1.624349696542012,-0.019786100834608078,0.0023587717734762054,-0.0006438485757194216,0.03498639618625814,0.03507173025913638,0.0,22.0,2.0,-0.053528134671146275,-0.9985663366692049,-0.00010034775426805241,0.9,0.10574902594089508,-0.05161342769861221,-0.012211437337100506,-1.2630527019500732,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.053953089887269726,-0.9985434713078927,0.0,0.9,inf,6.499979973004201,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,8,0.0,22.0,2.0,0.0,22.0,2.0,1,
3,0.133333,0.033333,-0.00021665735403075814,4.000021934509277,2.00406813621521,1.6232395318183908,-0.05054442584514618,0.0068155972223947646,0.00015685954636272608,0.023974736940612768,0.02492518769812542,0.0,22.0,2.0,-0.05242219063360765,-0.9986249970162784,-0.0001710655183325333,0.9,0.05727802962064743,-0.02453145571053028,-0.02268182300031185,-1.3682618141174316,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.053953089887269726,-0.9985434713078927,0.0,0.9,inf,6.49997806809853,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,8,0.0,22.0,2.0,0.0,22.0,2.0,1,
4,0.166667,0.033333,-0.000528945354744792,3.999943494796753,2.004666566848755,1.620895476487089,-0.09845089912414551,0.011313247923962905,0.003820147369541983,0.01242928606582587,0.01723572617037654,0.0,22.0,2.0,-0.05009021495492287,-0.9987446717185665,-0.0002260078371326111,0.9,0.015224812552332878,-0.001430497388355434,-0.029056956991553307,-1.424399733543396,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.053953089887269726,-0.9985434713078927,0.0,0.9,inf,6.500056520746661,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,8,0.0,22.0,2.0,0.0,22.0,2.0,1,
5,0.2,0.033333,-0.0009220536448992789,3.999680519104004,2.0049188137054443,1.6167478538077662,-0.1605679988861084,0.01194784777403817,0.01126961838001408,0.003745873990642223,0.01684597687332231,0.0,22.0,2.0,-0.04596471046091803,-0.998943030497827,-0.00025925289115433003,0.9,-0.014497418887913227,0.016549337655305862,-0.02912542223930359,-1.4494061470031738,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.053953089887269726,-0.9985434713078927,0.0,0.9,inf,6.500319528126704,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,8,0.0,22.0,2.0,0.0,22.0,2.0,1,
6,0.233333,0.033333,-0.0012222571531310678,3.999119520187378,2.00494384765625,1.6102266447788192,-0.23268365859985352,0.006068576032103425,0.02215420041047604,-0.0007491675198062449,0.022982546918426806,0.0,22.0,2.0,-0.03947128434967356,-0.9992206678403707,-0.0002732625673984035,0.9,-0.03525863587856293,0.02852127142250538,-0.025486700236797333,-1.458104133605957,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,-0.03947128582338202,-0.9992207051474908,0.0,0.9,inf,6.500880562799644,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,8,0.0,22.0,2.0,0.0,22.0,2.0,1,
7,0.266667,0.033333,-0.001210227026604116,3.998171806335449,2.0048534870147705,1.601016542503586,-0.31123679876327515,-0.00657391814957999,0.03506057311269928,-0.00199806996563437,0.03572747500756075,0.0,22.0,2.0,-0.030283483731522832,-0.9995413123945102,-0.00027464475773511423,0.9,-0.04838491976261139,0.0360381044447422,-0.022006843239068985,-1.4596861600875854,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.03947128434967356,-0.9992206678403707,-0.0002732625673984035,0.9,inf,6.50182827501744,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,8,0.0,22.0,2.0,0.0,22.0,2.0,1,
8,0.3,0.033333,-0.0006962817860767245,3.996793746948242,2.00470232963562,1.589123773630766,-0.393820196390152,-0.02423800096164021,0.04808979139507318,-0.0020563564177468914,0.05389190411142416,0.0,22.0,2.0,-0.018393636842027047,-0.9998307864002559,-0.0002696107737052383,0.9,-0.056735314428806305,0.04108571261167526,-0.020012266933918,-1.45932137966156,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.03947128434967356,-0.9992206678403707,-0.0002732625673984035,0.9,inf,6.503206279975961,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,8,0.0,22.0,2.0,0.0,22.0,2.0,1,
9,0.333333,0.033333,0.0004272411169949919,3.994995355606079,2.0044963359832764,1.5746457620611942,-0.4789828956127167,-0.044214604626787814,0.05947617281762274,-0.0025310403558646433,0.07415357415942882,0.0,22.0,2.0,-0.0038881007696813636,-0.9999924071962241,-0.00026119400097992444,0.9,-0.06371472030878067,0.044009797275066376,-0.018976056948304176,-1.4598915576934814,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.03947128434967356,-0.9992206678403707,-0.0002732625673984035,0.9,inf,6.505004654529117,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,8,0.0,22.0,2.0,0.0,22.0,2.0,1,
