episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-6.0,3.0,2.000577449798584,-1.3258172674544433,0.0,9.51070851099458e-06,1.019209369443574e-05,0.030651987734255676,0.03065199090423509,6.0,23.0,2.0,0.7071070613518076,0.7071065010211763,0.0,0.9,0.05135158449411392,0.055145394057035446,0.0029705893248319626,0.41412922739982605,direct,SAFE_PROGRESSING,NONE,1,0,"-6.000,3.000;-5.743,3.429;-5.486,3.857;-5.228,4.286;-4.971,4.715;-4.714,5.144;-4.457,5.572",1,1,PASS_THROUGH,-1,0.7071070613518076,0.7071065010211763,0.0,0.9,inf,6.497142273814361,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
1,0.066667,0.033333,-5.999997138977051,3.0000038146972656,2.0018057823181152,-1.3257670326278306,0.004407117608934641,0.0002555968544884343,0.00017853460001147014,0.040497084915258295,0.04049828503762926,6.0,23.0,2.0,0.7071425816153387,0.7070709785116608,-2.4757955854407232e-05,0.9,0.12234216928482056,0.06415777653455734,-0.0013604898704215884,0.6879646182060242,direct,SAFE_PROGRESSING,NONE,1,0,"-6.000,3.000;-5.743,3.429;-5.486,3.857;-5.228,4.286;-4.971,4.715;-4.714,5.144;-4.457,5.572",0,1,PASS_THROUGH,-1,0.7071070613518076,0.7071065010211763,0.0,0.9,inf,6.497137530754295,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
2,0.1,0.033333,-5.999951362609863,3.0000381469726562,2.0031704902648926,-1.3253600533166383,0.02257532626390457,0.002832599179652948,0.0010656366716182755,0.04059023209784651,0.04070290089644124,6.0,23.0,2.0,0.7074302695324338,0.7067831405424556,-7.742229367035503e-05,0.9,0.15571829676628113,0.07557167857885361,-0.0032595712691545486,0.9198013544082642,direct,SAFE_PROGRESSING,NONE,1,0,"-6.000,3.000;-5.743,3.429;-5.486,3.857;-5.228,4.286;-4.971,4.715;-4.714,5.144;-4.457,5.572",0,1,PASS_THROUGH,-1,0.7071070613518076,0.7071065010211763,0.0,0.9,inf,6.497084539359227,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
3,0.133333,0.033333,-5.999727725982666,3.0001790523529053,2.004464864730835,-1.3240326302556857,0.05687684565782547,0.011184925438213495,0.0034929784330526015,0.037243176550972486,0.03904302312832695,6.0,23.0,2.0,0.708367188462466,0.705844110148787,-0.00013593398388695962,0.9,0.16204845905303955,0.06532204151153564,-0.004307907540351152,0.9973504543304443,direct,SAFE_PROGRESSING,NONE,1,0,"-6.000,3.000;-5.743,3.429;-5.485,3.858;-5.228,4.286;-4.971,4.715;-4.714,5.144;-4.456,5.573",0,1,PASS_THROUGH,-1,0.7071070613518076,0.7071065010211763,0.0,0.9,inf,6.496848655289981,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
4,0.166667,0.033333,-5.999128818511963,3.0005340576171875,2.005610704421997,-1.3212136996642057,0.1045340746641159,0.02653683704966413,0.007474020398259091,0.03379950939155004,0.0436173306911771,6.0,23.0,2.0,0.7103504911269722,0.7038480966156663,-0.00019143190244443617,0.9,0.165763720870018,0.04366721212863922,-0.0029698372818529606,0.8884800672531128,direct,SAFE_PROGRESSING,NONE,1,0,"-6.000,3.000;-5.742,3.429;-5.485,3.858;-5.228,4.286;-4.971,4.715;-4.714,5.144;-4.456,5.573",0,1,PASS_THROUGH,-1,0.7071070613518076,0.7071065010211763,0.0,0.9,inf,6.496236119947254,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
5,0.2,0.033333,-5.997971057891846,3.0011823177337646,2.0066044330596924,-1.3166415952862198,0.16331462562084198,0.04721030168327616,0.011509358218247095,0.030969501906861766,0.05762280763708928,6.0,23.0,2.0,0.7135511743435163,0.7006030714469077,-0.0002405663069086127,0.9,0.18577851355075836,0.020416418090462685,-0.003166650887578726,0.6805859208106995,direct,SAFE_PROGRESSING,NONE,1,0,"-5.999,3.001;-5.742,3.429;-5.485,3.858;-5.227,4.287;-4.970,4.716;-4.713,5.144;-4.456,5.573",0,1,PASS_THROUGH,-1,0.7071070613518076,0.7071065010211763,0.0,0.9,inf,6.495084654133745,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
6,0.233333,0.033333,-5.996130466461182,3.002124786376953,2.0074217319488525,-1.3103422453330629,0.22756339609622955,0.0705747729093322,0.013322562682543058,0.026366511389131,0.07650805297788771,6.0,23.0,2.0,0.7179306458775866,0.6961145793003591,-0.00028318770351389564,0.9,0.20441114902496338,0.0019293180666863918,-0.007965894415974617,0.5918598175048828,direct,SAFE_PROGRESSING,NONE,1,0,"-5.998,3.001;-5.741,3.430;-5.484,3.859;-5.226,4.287;-4.969,4.716;-4.712,5.145;-4.455,5.574",1,1,PASS_THROUGH,-1,0.7179306746649112,0.6961146072129111,0.0,0.9,inf,6.493329779869102,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
7,0.266667,0.033333,-5.9935455322265625,3.003281593322754,2.007996082305908,-1.3024516328007238,0.28392505645751953,0.09458443524684425,0.011082381195623596,0.01996702262045936,0.09730219193962444,6.0,23.0,2.0,0.7233686267536384,0.6904619674837882,-0.00031825614133533097,0.9,0.21168841421604156,-0.004308377858251333,-0.011798086576163769,0.6262977123260498,direct,SAFE_PROGRESSING,NONE,1,0,"-5.996,3.002;-5.739,3.431;-5.482,3.860;-5.225,4.288;-4.967,4.717;-4.710,5.146;-4.453,5.575",0,1,PASS_THROUGH,-1,0.7179306458775866,0.6961145793003591,-0.00028318770351389564,0.9,inf,6.491008592554238,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
8,0.3,0.033333,-5.990187644958496,3.0045340061187744,2.0083141326904297,-1.2931136350233312,0.3279845416545868,0.11777553433218697,0.004451110095781457,0.014063660116603566,0.11869572614122323,6.0,23.0,2.0,0.7297369737895444,0.6837278928717054,-0.00034291937200726957,0.9,0.2080809772014618,-0.0029982333071529865,-0.01233601476997137,0.6865935325622559,direct,SAFE_PROGRESSING,NONE,1,0,"-5.994,3.003;-5.736,3.432;-5.479,3.861;-5.222,4.290;-4.965,4.718;-4.708,5.147;-4.450,5.576",0,1,PASS_THROUGH,-1,0.7179306458775866,0.6961145793003591,-0.00028318770351389564,0.9,inf,6.488208626665265,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
9,0.333333,0.033333,-5.986069202423096,3.0057737827301025,2.0084304809570312,-1.2822612836449565,0.3640391230583191,0.13886430779687373,-0.005222427787497354,0.009641998685033038,0.13929658240797826,6.0,23.0,2.0,0.7370491114294524,0.6758390934061174,-0.0003566020921547508,0.9,0.1994505375623703,0.0015680257929489017,-0.011028916575014591,0.7441108822822571,direct,SAFE_PROGRESSING,NONE,1,0,"-5.990,3.005;-5.733,3.433;-5.476,3.862;-5.219,4.291;-4.962,4.720;-4.705,5.149;-4.447,5.577",0,1,PASS_THROUGH,-1,0.7179306458775866,0.6961145793003591,-0.00028318770351389564,0.9,inf,6.485029725661388,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
10,0.366667,0.033333,-5.981252193450928,3.00693941116333,2.008413314819336,-1.2698357893647294,0.39596691727638245,0.15668551228513103,-0.015690829318837345,0.0059920598891687275,0.15758317380508052,6.0,23.0,2.0,0.7453068539402725,0.666721503091739,-0.0003616417362548812,0.9,0.18910527229309082,0.00979379378259182,-0.009910362772643566,0.831655740737915,direct,SAFE_PROGRESSING,NONE,1,0,"-5.986,3.006;-5.729,3.435;-5.472,3.863;-5.215,4.292;-4.958,4.721;-4.701,5.150;-4.444,5.579",0,1,PASS_THROUGH,-1,0.7179306458775866,0.6961145793003591,-0.00028318770351389564,0.9,inf,6.4815573115576735,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,9,6.0,23.0,2.0,6.0,23.0,2.0,1,
