episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-5.0,5.0,2.000579595565796,0.3718807929219822,0.0,1.4469419790810349e-05,-1.3112884219685932e-05,0.03082059349930118,0.030820599685291782,5.0,21.0,2.0,0.5974490490410952,-0.8019068735207918,0.0,0.9,0.07863904535770416,-0.07110050320625305,0.009023603983223438,-0.5018764734268188,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.5974490490410952,-0.8019068735207918,0.0,0.9,3.89165774445801,4.270744176750625,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,10,5.0,21.0,2.0,5.0,21.0,2.0,1,
1,0.066667,0.033333,-5.0,5.000005722045898,2.0018234252929688,0.3718301044150772,-0.004445858299732208,0.00030545582618983995,-0.00020904336766373118,0.041290861118224956,0.041292520076593286,5.0,21.0,2.0,0.5974896954537495,-0.8018765883120413,-3.071850353574356e-05,0.9,0.13038666546344757,-0.07001931965351105,0.004475933965295553,-0.8174116611480713,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.5974490490410952,-0.8019068735207918,0.0,0.9,3.89165774445801,4.270739379138789,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,10,5.0,21.0,2.0,5.0,21.0,2.0,1,
2,0.1,0.033333,-5.000000476837158,5.000061511993408,2.0032107830047607,0.37143708935269,-0.021377483382821083,0.0026062790041541197,-0.0009436039791120991,0.04081278230351999,0.040906799900156034,5.0,21.0,2.0,0.5978046675198614,-0.8016417966597759,-9.664137164686747e-05,0.9,0.14435623586177826,-0.06397838890552521,-0.0010835517896339297,-1.1062626838684082,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.5974490490410952,-0.8019068735207918,0.0,0.9,3.8916523777307868,4.270692862403732,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,10,5.0,21.0,2.0,5.0,21.0,2.0,1,
3,0.133333,0.033333,-5.000022888183594,5.000282287597656,2.0044798851013184,0.37021412437477813,-0.05315994843840599,0.009376292144711681,-0.002337340678942274,0.0350910853247296,0.03639728403466216,5.0,21.0,2.0,0.5987833218909551,-0.8009110465381601,-0.00017017162462055677,0.9,0.13235267996788025,-0.05592617392539978,-0.006840498652309179,-1.3013558387756348,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.5974490490410952,-0.8019068735207918,0.0,0.9,3.891600217608741,4.270519971447934,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,10,5.0,21.0,2.0,5.0,21.0,2.0,1,
4,0.166667,0.033333,-5.000108242034912,5.00081729888916,2.005507469177246,0.3676788440163633,-0.09909643232822418,0.020773181474665756,-0.003977387283807617,0.02762032764570161,0.03478831955471117,5.0,21.0,2.0,0.6008061583875511,-0.7993947108078723,-0.00023743628852100333,0.9,0.11108849942684174,-0.0498322956264019,-0.011603737249970436,-1.3964658975601196,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.5974490490410952,-0.8019068735207918,0.0,0.9,3.7977700873489573,4.270117938496078,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,10,5.0,21.0,2.0,5.0,21.0,2.0,1,
5,0.2,0.033333,-5.000294208526611,5.001760482788086,2.0062732696533203,0.36344065687516336,-0.1574280560016632,0.034222688801843225,-0.005203064479812765,0.020894343419726673,0.040433128691091544,5.0,21.0,2.0,0.6041736952102891,-0.7968525966622401,-0.0002919051049299773,0.9,0.0917818546295166,-0.04577350243926048,-0.012930693104863167,-1.4337204694747925,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.5974490490410952,-0.8019068735207918,0.0,0.9,3.797300371457997,4.26942860392018,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,10,5.0,21.0,2.0,5.0,21.0,2.0,1,
6,0.233333,0.033333,-5.000595569610596,5.003109455108643,2.006833076477051,0.3571444966551613,-0.22570669651031494,0.046179976555261855,-0.005570650351638607,0.015875716028220303,0.04914937170904057,5.0,21.0,2.0,0.6091511488755118,-0.7930540758758459,-0.0003325061685293887,0.9,0.0767742171883583,-0.042033176869153976,-0.011640856973826885,-1.4448860883712769,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.6091511825494975,-0.7930541197160186,0.0,0.9,3.7964849691635485,4.268462157186549,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,10,5.0,21.0,2.0,5.0,21.0,2.0,1,
7,0.266667,0.033333,-5.0009965896606445,5.004765033721924,2.0072600841522217,0.3484468937100305,-0.30154305696487427,0.054010477219766276,-0.005029490723829498,0.012154135552523728,0.05558912157497275,5.0,21.0,2.0,0.6159851580650771,-0.7877576745782779,-0.00036219686079810165,0.9,0.06752495467662811,-0.038022879511117935,-0.010383221320807934,-1.4443449974060059,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6091511488755118,-0.7930540758758459,-0.0003325061685293887,0.9,3.888948320442142,4.267293330098043,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,10,5.0,21.0,2.0,5.0,21.0,2.0,1,
8,0.3,0.033333,-5.001460075378418,5.0065765380859375,2.007598876953125,0.33708899350086674,-0.38285088539123535,0.056879984670976415,-0.0038246808292453586,0.009110213068147016,0.05773176614103492,5.0,21.0,2.0,0.6248421079518782,-0.7807510435578358,-0.0003848553023457963,0.9,0.06409710645675659,-0.03494003787636757,-0.010136736556887627,-1.4395155906677246,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6091511488755118,-0.7930540758758459,-0.0003325061685293887,0.9,3.7383198199287238,4.266028269949055,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,10,5.0,21.0,2.0,5.0,21.0,2.0,1,
9,0.333333,0.033333,-5.001945495605469,5.008399486541748,2.007869005203247,0.322923837688819,-0.4678696393966675,0.05569207789747206,-0.0023474188326746055,0.006702537136477025,0.056143048721813686,5.0,21.0,2.0,0.6357831300603392,-0.7718676371301358,-0.00040284217579562197,0.9,0.06409437209367752,-0.03408440575003624,-0.010033279657363892,-1.4369289875030518,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6091511488755118,-0.7930540758758459,-0.0003325061685293887,0.9,3.7368304067053613,4.264765998571364,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,10,5.0,21.0,2.0,5.0,21.0,2.0,1,
