episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-6.0,3.0,2.000577688217163,-1.230529325478923,0.0,8.601958722361995e-06,9.1773004402492e-06,0.03067516186405904,0.03067516444296198,6.0,25.0,2.0,0.744385238882622,0.6677504145514713,0.0,0.9,0.04647555947303772,0.0496780127286911,0.0037345518358051777,0.38633817434310913,direct,SAFE_PROGRESSING,NONE,1,0,"-6.000,3.000;-5.761,3.439;-5.521,3.878;-5.282,4.317;-5.042,4.756;-4.803,5.195;-4.563,5.634",1,1,PASS_THROUGH,-1,0.744385238882622,0.6677504145514713,0.0,0.9,inf,5.764982043070834,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
1,0.066667,0.033333,-5.999998092651367,3.0000038146972656,2.001807689666748,-1.2304791032711977,0.0043994346633553505,0.0002375691907120409,0.00016001770004326534,0.04053231460930477,0.04053332668770679,6.0,25.0,2.0,0.7444187736460712,0.6677130288618551,-2.305226946534205e-05,0.9,0.11491625010967255,0.05714631825685501,-0.0008972710347734392,0.6422364711761475,direct,SAFE_PROGRESSING,NONE,1,0,"-6.000,3.000;-5.761,3.439;-5.521,3.878;-5.282,4.317;-5.042,4.756;-4.803,5.195;-4.563,5.634",0,1,PASS_THROUGH,-1,0.744385238882622,0.6677504145514713,0.0,0.9,inf,5.764977780827038,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
2,0.1,0.033333,-5.999955654144287,3.000039577484131,2.0031728744506836,-1.230076744750277,0.022243347018957138,0.002701386930408289,0.0009434257878712106,0.04056151758423193,0.04066231980963404,6.0,25.0,2.0,0.7446873757221697,0.6674134455018236,-7.213468279210419e-05,0.9,0.15126775205135345,0.06664425134658813,-0.0029947874136269093,0.8535613417625427,direct,SAFE_PROGRESSING,NONE,1,0,"-6.000,3.000;-5.761,3.439;-5.521,3.878;-5.282,4.317;-5.042,4.756;-4.803,5.195;-4.563,5.634",0,1,PASS_THROUGH,-1,0.744385238882622,0.6677504145514713,0.0,0.9,inf,5.764926063097091,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
3,0.133333,0.033333,-5.999752044677734,3.0001888275146484,2.0044684410095215,-1.2287753031696835,0.05608350783586502,0.010826625344896153,0.0030598544999264417,0.03737884548806725,0.039035325231644644,6.0,25.0,2.0,0.7455548050149037,0.666444308767546,-0.00012661175607387473,0.9,0.16328184306621552,0.056337013840675354,-0.003583519719541073,0.8985582590103149,direct,SAFE_PROGRESSING,NONE,1,0,"-6.000,3.000;-5.761,3.439;-5.521,3.878;-5.282,4.317;-5.042,4.756;-4.803,5.195;-4.563,5.634",0,1,PASS_THROUGH,-1,0.744385238882622,0.6677504145514713,0.0,0.9,inf,5.764697539589836,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
4,0.166667,0.033333,-5.999194145202637,3.0005710124969482,2.0056262016296387,-1.226015799477659,0.10343307256698608,0.026078212752292548,0.006456734608194036,0.03434331004839824,0.043603045160113485,6.0,25.0,2.0,0.7473881694640522,0.6643876070110895,-0.00017831222972334855,0.9,0.17244186997413635,0.03339200094342232,-0.0017266299109905958,0.7386627197265625,direct,SAFE_PROGRESSING,NONE,1,0,"-6.000,3.000;-5.760,3.439;-5.521,3.878;-5.281,4.317;-5.042,4.756;-4.803,5.195;-4.563,5.634",0,1,PASS_THROUGH,-1,0.744385238882622,0.6677504145514713,0.0,0.9,inf,5.76409488347731,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
5,0.2,0.033333,-5.998091220855713,3.001277208328247,2.0066421031951904,-1.221525534459136,0.1619589477777481,0.04715786017458252,0.009654351671683251,0.031644719559262416,0.05760606355610818,6.0,25.0,2.0,0.7503558020373975,0.6610341291798467,-0.00022451782921453837,0.9,0.19049368798732758,0.0066958204843103886,-0.002662678249180317,0.5065765976905823,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-5.999,3.001;-5.760,3.440;-5.520,3.878;-5.281,4.317;-5.042,4.756;-4.802,5.195;-4.563,5.634",0,1,PASS_THROUGH,-1,0.744385238882622,0.6677504145514713,0.0,0.9,inf,5.762946854973503,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
6,0.233333,0.033333,-5.996302127838135,3.0023186206817627,2.0074713230133057,-1.215390579253343,0.22110053896903992,0.07154396665980724,0.010362552959650209,0.02667359593441553,0.0770545416528684,6.0,25.0,2.0,0.7543805564859409,0.6564372824068596,-0.00026507029078665464,0.9,0.20419159531593323,-0.016104573383927345,-0.0077667697332799435,0.3953920602798462,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-5.998,3.001;-5.759,3.440;-5.519,3.879;-5.280,4.318;-5.040,4.757;-4.801,5.196;-4.562,5.635",1,1,PASS_THROUGH,-1,0.7543805829881834,0.6564373054682441,0.0,0.9,inf,5.761176166647111,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
7,0.266667,0.033333,-5.993739604949951,3.0036165714263916,2.0080325603485107,-1.2080322646295076,0.26397132873535156,0.09678691212878583,0.006658185124074166,0.019781206186454098,0.09901178670624404,6.0,25.0,2.0,0.7591625068800503,0.6509010671631948,-0.000298183520755303,0.9,0.207816943526268,-0.02882145345211029,-0.01090710423886776,0.3621223568916321,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-5.996,3.002;-5.757,3.441;-5.518,3.880;-5.278,4.319;-5.039,4.758;-4.799,5.197;-4.560,5.636",0,1,PASS_THROUGH,-1,0.7543805564859409,0.6564372824068596,-0.00026507029078665464,0.9,inf,5.758810399440493,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
8,0.3,0.033333,-5.990362644195557,3.0050389766693115,2.0083208084106445,-1.1998802385115346,0.28535622358322144,0.12079230205124568,-0.001935155876768432,0.01359728890885874,0.1215706022391011,6.0,25.0,2.0,0.7644014785788604,0.6447404724024637,-0.0003206130066255261,0.9,0.20287735760211945,-0.03620811551809311,-0.01054844819009304,0.3252981901168823,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-5.994,3.004;-5.754,3.443;-5.515,3.882;-5.276,4.321;-5.036,4.760;-4.797,5.199;-4.558,5.638",0,1,PASS_THROUGH,-1,0.7543805564859409,0.6564372824068596,-0.00026507029078665464,0.9,inf,5.755946402561621,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
9,0.333333,0.033333,-5.986180782318115,3.0064444541931152,2.0084052085876465,-1.1911515002306943,0.2895323932170868,0.1418784837952583,-0.014248487942086911,0.009167368920803352,0.14288654319286784,6.0,25.0,2.0,0.7699418804192076,0.6381139321851615,-0.0003321561764537934,0.9,0.1954948604106903,-0.04093512147665024,-0.008270791731774807,0.2777145504951477,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-5.990,3.005;-5.751,3.444;-5.512,3.883;-5.272,4.322;-5.033,4.761;-4.794,5.200;-4.554,5.639",0,1,PASS_THROUGH,-1,0.7543805564859409,0.6564372824068596,-0.00026507029078665464,0.9,inf,5.752713666845109,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
