episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-6.0,3.0,2.000579595565796,0.408748801241463,0.0,1.45270267061994e-05,-1.2532496614240702e-05,0.03082260668747325,0.030822612658706384,6.0,25.0,2.0,0.6152482273177489,-0.7883334439070612,0.0,0.9,0.07900282740592957,-0.06790603697299957,0.009077833034098148,-0.4961819350719452,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.6152482273177489,-0.7883334439070612,0.0,0.9,3.606244584051393,4.064982043070834,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,12,6.0,25.0,2.0,6.0,25.0,2.0,1,
1,0.066667,0.033333,-6.0,3.0000061988830566,2.0018258094787598,0.40869807912342226,-0.004442574921995401,0.00030910854591976577,-0.00020193995239841007,0.04149933601000335,0.04150097850784601,6.0,25.0,2.0,0.6152882123037288,-0.7883022359889382,-2.3128380961678923e-05,0.9,0.13314363360404968,-0.06835038214921951,0.00528113404288888,-0.8135663866996765,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6152482273177489,-0.7883334439070612,0.0,0.9,3.606244584051393,4.064976601099544,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,12,6.0,25.0,2.0,6.0,25.0,2.0,1,
2,0.1,0.033333,-6.000002384185791,3.000062942504883,2.003230333328247,0.40830344922015216,-0.021519450470805168,0.0026697697981455533,-0.0009450008245552654,0.041695049015121,0.04179112118269672,6.0,25.0,2.0,0.6155991572056442,-0.7880594345222001,-7.285774555503355e-05,0.9,0.1489161252975464,-0.06178073212504387,0.0010427063098177314,-1.1024430990219116,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6152482273177489,-0.7883334439070612,0.0,0.9,3.541886286644724,4.064927927879816,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,12,6.0,25.0,2.0,6.0,25.0,2.0,1,
3,0.133333,0.033333,-6.000034809112549,3.0002903938293457,2.0045437812805176,0.4070712276843215,-0.05343310162425041,0.009665643406779202,-0.0023827998527654057,0.036949593787705765,0.03826715143150608,6.0,25.0,2.0,0.6165688305186696,-0.7873009974694822,-0.00012890461037662725,0.9,0.13695621490478516,-0.0525861531496048,-0.003486713394522667,-1.2982192039489746,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6152482273177489,-0.7883334439070612,0.0,0.9,3.5418333914530837,4.064743778327469,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,12,6.0,25.0,2.0,6.0,25.0,2.0,1,
4,0.166667,0.033333,-6.00014591217041,3.0008416175842285,2.0056495666503906,0.4045244729212423,-0.099411740899086,0.021524826003266207,-0.0040457628161339925,0.030592984149782173,0.03762468618372944,6.0,25.0,2.0,0.6185675788632254,-0.7857315810777554,-0.00018131833326362294,0.9,0.11683189868927002,-0.04662128537893295,-0.007055944297462702,-1.390810251235962,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6152482273177489,-0.7883334439070612,0.0,0.9,3.5416287930615344,4.0643130835875745,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,12,6.0,25.0,2.0,6.0,25.0,2.0,1,
5,0.2,0.033333,-6.0003814697265625,3.001817464828491,2.0065290927886963,0.40028449141339434,-0.1577489972114563,0.03568477281521926,-0.005203241128529438,0.024946840099424796,0.043849989282344196,6.0,25.0,2.0,0.621882193783947,-0.7831107751956585,-0.00022544826495656328,0.9,0.10240144282579422,-0.044044796377420425,-0.007516651414334774,-1.4241830110549927,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6152482273177489,-0.7883334439070612,0.0,0.9,3.5411435285495187,4.06356928228175,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,12,6.0,25.0,2.0,6.0,25.0,2.0,1,
6,0.233333,0.033333,-6.000761985778809,3.0032200813293457,2.0072293281555176,0.39399385886979627,-0.2259707748889923,0.04868979806702721,-0.005430307773893671,0.020585319377404564,0.05314075697801871,6.0,25.0,2.0,0.6267751525586279,-0.7792001284951138,-0.0002605538469663641,0.9,0.095586396753788,-0.04179760813713074,-0.0063817319460213184,-1.4304006099700928,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.6267751738339811,-0.7792001549444039,0.0,0.9,3.5402971365010822,4.062520416700942,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,12,6.0,25.0,2.0,6.0,25.0,2.0,1,
7,0.266667,0.033333,-6.0012736320495605,3.0049638748168945,2.0078036785125732,0.3852958784712007,-0.3017102777957916,0.05816925998339577,-0.004773361183934795,0.016933476236619262,0.06077162496975322,6.0,25.0,2.0,0.6334977647051312,-0.7737444661357018,-0.00028850993079637265,0.9,0.09579172730445862,-0.03906271606683731,-0.00596094224601984,-1.4236030578613281,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6267751525586279,-0.7792001284951138,-0.0002605538469663641,0.9,3.5390943717186665,4.061235136257328,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,12,6.0,25.0,2.0,6.0,25.0,2.0,1,
8,0.3,0.033333,-6.0018768310546875,3.006925582885742,2.0082805156707764,0.37393179177977776,-0.38291603326797485,0.06366443395997945,-0.0035668813201368958,0.013668191731818867,0.06521274613918882,6.0,25.0,2.0,0.6422102758236581,-0.7665284499789432,-0.0003114472344892551,0.9,0.10094329714775085,-0.03741057962179184,-0.0063221650198102,-1.4137815237045288,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6267751525586279,-0.7792001284951138,-0.0002605538469663641,0.9,3.5376118575435314,4.059802797275492,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,12,6.0,25.0,2.0,6.0,25.0,2.0,1,
9,0.333333,0.033333,-6.002535820007324,3.0090010166168213,2.0086746215820312,0.3597612192949714,-0.4678657352924347,0.06637656579664832,-0.0022254705376578837,0.011154636389831179,0.06734409490861179,6.0,25.0,2.0,0.6529631675077019,-0.7573895910627094,-0.00033049685434108464,0.9,0.10742257535457611,-0.0380711704492569,-0.006179352290928364,-1.4126131534576416,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6267751525586279,-0.7792001284951138,-0.0002605538469663641,0.9,3.53595344882882,4.058297786614356,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,12,6.0,25.0,2.0,6.0,25.0,2.0,1,
