episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,1.8775685006744425e-08,10.0,2.000577688217163,-1.0509347323868083,0.0,7.91865425120177e-06,1.0388563745935882e-05,0.030677339607227672,0.030677342388227207,0.0,20.0,2.0,0.4967600220577397,0.8678879423549989,0.0,0.9,0.04264391213655472,0.05636923015117645,0.003823199775069952,0.4035419225692749,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.4967600220577397,0.8678879423549989,0.0,0.9,1.9039432764659772,2.0,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,13,0.0,20.0,2.0,0.0,20.0,2.0,1,
1,0.066667,0.033333,1.7974549564314657e-06,10.00000286102295,2.001814842224121,-1.050884664795287,0.0044008055701851845,0.00022945118341908651,0.00016575908259185357,0.04109947534699607,0.0411004500914208,0.0,20.0,2.0,0.496803472035628,0.867863069173996,-5.776882161991448e-05,0.9,0.11485536396503448,0.05482184886932373,0.0008515804074704647,0.6156651973724365,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.4967600220577397,0.8678879423549989,0.0,0.9,1.9039432690698725,1.999997138977374,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,13,0.0,20.0,2.0,0.0,20.0,2.0,1,
2,0.1,0.033333,3.804121297434904e-05,10.000042915344238,2.003204345703125,-1.0504957109732043,0.021198278293013573,0.0027060536443002927,0.0007516019177011795,0.04124565237458429,0.04134115953349123,0.0,20.0,2.0,0.497140831417254,0.8676698455064695,-0.0001814842713464417,0.9,0.13784554600715637,0.05616772919893265,-0.002754932502284646,0.8210248947143555,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.4967600220577397,0.8678879423549989,0.0,0.9,1.9039399387188292,1.9999570848004762,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,13,0.0,20.0,2.0,0.0,20.0,2.0,1,
3,0.133333,0.033333,0.00022061611525714397,10.000204086303711,2.004505157470703,-1.049276812467087,0.053170353174209595,0.010598947921132409,0.0020000439197004525,0.03674578816845365,0.03829609406762622,0.0,20.0,2.0,0.49819490337635547,0.8670650123091344,-0.00032043592902102086,0.9,0.13037191331386566,0.05091708153486252,-0.0060775079764425755,0.9598184823989868,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.4967600220577397,0.8678879423549989,0.0,0.9,1.9038888459583363,1.9997959185636347,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,13,0.0,20.0,2.0,0.0,20.0,2.0,1,
4,0.166667,0.033333,0.0007042668876238167,10.000602722167969,2.0056064128875732,-1.0467119038680486,0.09940417110919952,0.024402482517406055,0.0037672371231130663,0.030967389923005205,0.03960621753206829,0.0,20.0,2.0,0.5004013720917273,0.8657934302338144,-0.0004505248958355468,0.9,0.11275672912597656,0.04104895517230034,-0.0084054134786129,1.0312767028808594,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.4967600220577397,0.8678879423549989,0.0,0.9,1.8665473439776092,1.9993973274371957,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,13,0.0,20.0,2.0,0.0,20.0,2.0,1,
5,0.2,0.033333,0.0016064521623775363,10.00131893157959,2.006481409072876,-1.0424160025673617,0.1580462008714676,0.041350219332207325,0.005348864290979463,0.025008313355148474,0.04861961255392998,0.0,20.0,2.0,0.5040743046356917,0.863660107362611,-0.0005606749923708733,0.9,0.09775470942258835,0.03155151382088661,-0.011237546801567078,1.094578742980957,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.4967600220577397,0.8678879423549989,0.0,0.9,1.8660053013654756,1.9986813265573513,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,13,0.0,20.0,2.0,0.0,20.0,2.0,1,
6,0.233333,0.033333,0.0029548746533691883,10.002350807189941,2.0071187019348145,-1.0361046455615048,0.22683267295360565,0.05737773808952934,0.005827004870901138,0.017718654907019724,0.060333320360727596,0.0,20.0,2.0,0.509437423111022,0.8605074617553983,-0.0006482262593570239,0.9,0.08231226354837418,0.021591002121567726,-0.016615010797977448,1.2055840492248535,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.5094375301431665,0.8605076425469043,0.0,0.9,1.865020019176579,1.9976500663491086,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,13,0.0,20.0,2.0,0.0,20.0,2.0,1,
7,0.266667,0.033333,0.004686329513788223,10.003617286682129,2.0074944496154785,-1.0274602106216553,0.30336394906044006,0.06911117711587446,0.004509025702299664,0.009031844506093494,0.06984454402677434,0.0,20.0,2.0,0.5167413941031482,0.8561412410479483,-0.0007120373681874727,0.9,0.06733795255422592,0.007970022037625313,-0.021829726174473763,1.3205775022506714,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.509437423111022,0.8605074617553983,-0.0006482262593570239,0.9,1.8635839383737152,1.9963849110758032,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,13,0.0,20.0,2.0,0.0,20.0,2.0,1,
8,0.3,0.033333,0.006682459264993668,10.004988670349121,2.0076205730438232,-1.0161603282760063,0.38557422161102295,0.07489258633162552,0.0010471154390534405,0.0012936390738311093,0.07491107688610563,0.0,20.0,2.0,0.5262351691923982,0.8503387469892066,-0.0007497158622916093,0.9,0.06494955718517303,-0.00808467622846365,-0.022802473977208138,1.3872100114822388,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.509437423111022,0.8605074617553983,-0.0006482262593570239,0.9,1.8617954545792288,1.9950157996349187,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,13,0.0,20.0,2.0,0.0,20.0,2.0,1,
9,0.333333,0.033333,0.008818556554615498,10.006317138671875,2.007575511932373,-1.001977503483365,0.47132283449172974,0.07518456926880608,-0.0046211389937971135,-0.0032971563571408246,0.07539857838036022,0.0,20.0,2.0,0.5380736586061837,0.842897476923243,-0.0007624372673860634,0.9,0.06871999800205231,-0.021072108298540115,-0.02061927318572998,1.4159187078475952,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.509437423111022,0.8605074617553983,-0.0006482262593570239,0.9,1.8598177326897563,1.9936906478537448,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,13,0.0,20.0,2.0,0.0,20.0,2.0,1,
