episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-2.3514319380524284e-09,8.0,2.000579595565796,0.16451305880532732,0.0,1.162502102608334e-05,-1.7118629942991018e-06,0.030822308479274068,0.03082231071907359,0.0,22.0,2.0,0.9864982196237896,-0.16377198380398691,0.0,0.9,0.06381408870220184,-0.008582369424402714,0.008699647150933743,-0.12639084458351135,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"0.000,8.000;0.211,8.453;0.423,8.906;0.634,9.359;0.845,9.813;1.057,10.266;1.268,10.719",1,1,PASS_THROUGH,-1,0.9864982196237896,-0.16377198380398691,0.0,0.9,3.950316443020737,4.0,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,14,0.0,22.0,2.0,0.0,22.0,2.0,1,
1,0.066667,0.033333,-3.430793071856897e-08,8.000003814697266,2.001826047897339,0.16446358086095034,-0.004305833484977484,0.00028997103674970824,-4.6745140382854064e-05,0.04155553467898508,0.04155657265423408,0.0,22.0,2.0,0.9865063206444824,-0.16372317372489342,-4.1399683235657444e-05,0.9,0.13770821690559387,-0.020528625696897507,0.006129480432718992,-0.31116026639938354,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.000,8.000;0.211,8.453;0.423,8.906;0.634,9.359;0.845,9.813;1.057,10.266;1.268,10.719",0,1,PASS_THROUGH,-1,0.9864982196237896,-0.16377198380398691,0.0,0.9,3.9503164429909745,3.9999961853027344,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,14,0.0,22.0,2.0,0.0,22.0,2.0,1,
2,0.1,0.033333,4.4883969962938863e-07,8.000062942504883,2.003262996673584,0.16407057779866635,-0.021807542070746422,0.003057463152459726,-0.0005324306357939337,0.04423709790893228,0.044345827252572946,0.0,22.0,2.0,0.986570580248428,-0.16333546208881414,-0.00013043202709748085,0.9,0.21037502586841583,-0.040875308215618134,0.009500028565526009,-0.4610256850719452,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-0.000,8.000;0.211,8.453;0.423,8.906;0.634,9.359;0.845,9.813;1.057,10.266;1.268,10.719",0,1,PASS_THROUGH,-1,0.9864982196237896,-0.16377198380398691,0.0,0.9,3.950312628194808,3.9999370574951314,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,14,0.0,22.0,2.0,0.0,22.0,2.0,1,
3,0.133333,0.033333,7.067550086503616e-06,8.000357627868652,2.0047390460968018,0.16276757256460686,-0.05679099261760712,0.012762367454408174,-0.0024055110775374642,0.04474952266978109,0.046595968556933584,0.0,22.0,2.0,0.9867825568233444,-0.16204978008784018,-0.00023307223250762683,0.9,0.2530941963195801,-0.07382030785083771,0.011778864078223705,-0.598840594291687,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"0.000,8.000;0.211,8.453;0.423,8.906;0.634,9.360;0.845,9.813;1.057,10.266;1.268,10.719",0,1,PASS_THROUGH,-1,0.9864982196237896,-0.16377198380398691,0.0,0.9,3.9502534998768652,3.9996423721349155,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,14,0.0,22.0,2.0,0.0,22.0,2.0,1,
4,0.166667,0.033333,4.6303179260576144e-05,8.001200675964355,2.0061569213867188,0.15979848245024048,-0.1082591712474823,0.032767196454137636,-0.006993471780757944,0.043426732107483525,0.05484960230072273,0.0,22.0,2.0,0.9872593925088406,-0.15911875223478456,-0.0003385119204695266,0.9,0.24678832292556763,-0.11954565346240997,0.010987530462443829,-0.7234405279159546,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"0.000,8.000;0.211,8.454;0.423,8.907;0.634,9.360;0.845,9.813;1.057,10.266;1.268,10.719",0,1,PASS_THROUGH,-1,0.9864982196237896,-0.16377198380398691,0.0,0.9,3.9499587543454537,3.9987993241888127,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,14,0.0,22.0,2.0,0.0,22.0,2.0,1,
5,0.2,0.033333,0.0001953587052412331,8.0029296875,2.0073983669281006,0.15435428679381924,-0.16950489580631256,0.06230146207315177,-0.01589277855354544,0.04087352479563483,0.0761885661751406,0.0,22.0,2.0,0.9881114230129018,-0.15373881185875507,-0.00043981777641581706,0.9,0.21713675558567047,-0.15898320078849792,0.008802687749266624,-0.8112561106681824,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"0.000,8.001;0.211,8.454;0.423,8.908;0.634,9.361;0.845,9.814;1.057,10.267;1.268,10.720",0,1,PASS_THROUGH,-1,0.9864982196237896,-0.16377198380398691,0.0,0.9,3.9491152772906526,3.997070315227215,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,14,0.0,22.0,2.0,0.0,22.0,2.0,1,
6,0.233333,0.033333,0.0006054921541363001,8.005772590637207,2.008383274078369,0.14599223169933784,-0.23387373983860016,0.09613991798088484,-0.030347354860609993,0.036915651949911074,0.10736205631084952,0.0,22.0,2.0,0.9893639409292464,-0.14546034857533247,-0.0005285653160783355,0.9,0.18413591384887695,-0.17882487177848816,0.006602207198739052,-0.857591986656189,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"0.000,8.003;0.211,8.456;0.423,8.909;0.634,9.362;0.845,9.816;1.057,10.269;1.268,10.722",1,1,PASS_THROUGH,-1,0.9893640791341641,-0.1454603688947869,0.0,0.9,3.8473977651595117,3.9942274355716023,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,14,0.0,22.0,2.0,0.0,22.0,2.0,1,
7,0.266667,0.033333,0.0014804750680923462,8.009746551513672,2.0090792179107666,0.13509966958424244,-0.29998934268951416,0.12730245882198804,-0.050129830566583,0.030434524821256217,0.14016125083579248,0.0,22.0,2.0,0.9908935606269,-0.1346461757519253,-0.0005990521892396556,0.9,0.15244722366333008,-0.17847882211208344,0.005132891237735748,-0.8665768504142761,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"0.001,8.006;0.212,8.459;0.423,8.912;0.634,9.365;0.846,9.818;1.057,10.272;1.268,10.725",0,1,PASS_THROUGH,-1,0.9893639409292464,-0.14546034857533247,-0.0005285653160783355,0.9,3.844560480826429,3.990253605262218,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,14,0.0,22.0,2.0,0.0,22.0,2.0,1,
8,0.3,0.033333,0.003009557956829667,8.014656066894531,2.009495973587036,0.12262283586476232,-0.3640097677707672,0.15014429978378405,-0.07298801312327417,0.021538090816583255,0.16832839978229894,0.0,22.0,2.0,0.9925039649744765,-0.12221071291619623,-0.000648967224322748,0.9,0.12430818378925323,-0.16230395436286926,0.004991763737052679,-0.8420455455780029,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"0.001,8.010;0.213,8.463;0.424,8.916;0.635,9.369;0.847,9.822;1.058,10.276;1.269,10.729",0,1,PASS_THROUGH,-1,0.9893639409292464,-0.14546034857533247,-0.0005285653160783355,0.9,3.840598493454423,3.9853445814227717,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,14,0.0,22.0,2.0,0.0,22.0,2.0,1,
9,0.333333,0.033333,0.0052936747670173645,8.020167350769043,2.00968861579895,0.10914080357840676,-0.420840322971344,0.16215119791296323,-0.09517429130099295,0.012007366723492223,0.18840205297418516,0.0,22.0,2.0,0.994073239836682,-0.10871031601054941,-0.0006789944690387808,0.9,0.10338631272315979,-0.13672129809856415,0.006692680064588785,-0.7887986898422241,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"0.003,8.015;0.214,8.468;0.425,8.921;0.637,9.374;0.848,9.827;1.059,10.281;1.270,10.734",0,1,PASS_THROUGH,-1,0.9893639409292464,-0.14546034857533247,-0.0005285653160783355,0.9,3.93562447058576,3.979834656656487,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,14,0.0,22.0,2.0,0.0,22.0,2.0,1,
