episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,3.115174607160043e-08,10.0,2.000581741333008,0.01763050754727336,0.0,1.1825498894478724e-05,-3.033207233652192e-06,0.031007930672108074,0.0310079330754088,0.0,20.0,2.0,0.9998445866275323,-0.017629594198931193,0.0,0.9,0.06514386087656021,-0.016074180603027344,0.014118692837655544,-0.0637429803609848,blocked,BLOCKED_BY_OBSERVED_OBSTACLE,BLOCKED_BY_OBSERVED_OBSTACLE,0,0,,1,1,PASS_THROUGH,-1,0.9998445866275323,-0.017629594198931193,0.0,0.9,1.550806241927083,1.5,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,16,0.0,20.0,2.0,0.0,20.0,2.0,1,
1,0.066667,0.033333,1.0230768339170027e-06,10.000003814697266,2.001840353012085,0.01759279303284252,-0.0030801089014858007,0.0002799926686350301,-6.204724929574794e-05,0.04206634503003904,0.0420673225906038,0.0,20.0,2.0,0.999845249170984,-0.01759188238885116,-5.817413320234393e-05,0.9,0.13018518686294556,-0.024820607155561447,0.01057370100170374,-0.18813079595565796,blocked,BLOCKED_BY_OBSERVED_OBSTACLE,BLOCKED_BY_OBSERVED_OBSTACLE,0,0,,0,1,PASS_THROUGH,-1,0.9998445866275323,-0.017629594198931193,0.0,0.9,1.5508062409227106,1.4999961853028392,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,16,0.0,20.0,2.0,0.0,20.0,2.0,1,
2,0.1,0.033333,1.0427564120618626e-05,10.000060081481934,2.0032970905303955,0.01732333560227775,-0.014949500560760498,0.0027897637524087306,-0.0005127473816445845,0.04486685853043841,0.04495643097557913,0.0,20.0,2.0,0.9998499396144668,-0.01732236657995905,-0.00018403536829586937,0.9,0.17474696040153503,-0.037986841052770615,0.012932805344462395,-0.27047425508499146,blocked,BLOCKED_BY_OBSERVED_OBSTACLE,BLOCKED_BY_OBSERVED_OBSTACLE,0,0,,0,1,PASS_THROUGH,-1,0.9998445866275323,-0.017629594198931193,0.0,0.9,1.4508579651660765,1.4999399185289404,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,16,0.0,20.0,2.0,0.0,20.0,2.0,1,
3,0.133333,0.033333,5.362319279811345e-05,10.00031566619873,2.0048012733459473,0.016412934207082407,-0.03991301357746124,0.01105913057594812,-0.0020508715285143422,0.04572145604645786,0.04708462579367621,0.0,20.0,2.0,0.9998652735851196,-0.016411153804649855,-0.0003297110160707875,0.9,0.19749008119106293,-0.05758415907621384,0.015857046470046043,-0.3547179698944092,blocked,BLOCKED_BY_OBSERVED_OBSTACLE,BLOCKED_BY_OBSERVED_OBSTACLE,0,0,,0,1,PASS_THROUGH,-1,0.9998445866275323,-0.017629594198931193,0.0,0.9,1.45080140772764,1.4996843340888324,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,16,0.0,20.0,2.0,0.0,20.0,2.0,1,
4,0.166667,0.033333,0.00018297247879672796,10.001011848449707,2.006286382675171,0.014354249318138002,-0.07553686201572418,0.027127960510758612,-0.005533433585484876,0.04543610921652518,0.05320700282344661,0.0,20.0,2.0,0.9998969412331323,-0.014348392797360575,-0.00048014243571807357,0.9,0.20215743780136108,-0.0899180918931961,0.016118457540869713,-0.46722501516342163,blocked,BLOCKED_BY_OBSERVED_OBSTACLE,BLOCKED_BY_OBSERVED_OBSTACLE,0,0,,0,1,PASS_THROUGH,-1,0.9998445866275323,-0.017629594198931193,0.0,0.9,1.4505444868134865,1.4989881548988633,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,16,0.0,20.0,2.0,0.0,20.0,2.0,1,
5,0.2,0.033333,0.00048601109301671386,10.00239086151123,2.007678508758545,0.01068222708257258,-0.1184871643781662,0.050113324446002736,-0.012007782935819488,0.04421132986879253,0.06789826085277355,0.0,20.0,2.0,0.9999429432370882,-0.010663723760904506,-0.0006287017582621326,0.9,0.19484755396842957,-0.126624196767807,0.01536511816084385,-0.5699623227119446,blocked,BLOCKED_BY_OBSERVED_OBSTACLE,BLOCKED_BY_OBSERVED_OBSTACLE,0,0,,0,1,PASS_THROUGH,-1,0.9998445866275323,-0.017629594198931193,0.0,0.9,1.4498442673488028,1.4976091621207477,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,16,0.0,20.0,2.0,0.0,20.0,2.0,1,
6,0.233333,0.033333,0.0010933229932561517,10.004610061645508,2.0089242458343506,0.0050332488713007864,-0.1667899340391159,0.07665532615949575,-0.022614006543636957,0.04229107692358728,0.09042105677291715,0.0,20.0,2.0,0.9999872817922989,-0.004984614027403029,-0.0007680342748372186,0.9,0.17834030091762543,-0.15335220098495483,0.015243631787598133,-0.6397958397865295,blocked,BLOCKED_BY_OBSERVED_OBSTACLE,BLOCKED_BY_OBSERVED_OBSTACLE,0,0,,1,1,PASS_THROUGH,-1,0.9999875767270019,-0.004984615497557384,0.0,0.9,1.4484556786224705,1.4953900580003223,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,16,0.0,20.0,2.0,0.0,20.0,2.0,1,
7,0.266667,0.033333,0.0021687608677893877,10.0076904296875,2.0100066661834717,-0.002629981353687728,-0.21802015602588654,0.10239567397892725,-0.03789504086615377,0.03959997404267475,0.11614243891027404,0.0,20.0,2.0,0.9999958493680791,0.002739359560756134,-0.0008928358252148816,0.9,0.15671241283416748,-0.16339647769927979,0.01629788801074028,-0.6715253591537476,blocked,BLOCKED_BY_OBSERVED_OBSTACLE,BLOCKED_BY_OBSERVED_OBSTACLE,0,0,,0,1,PASS_THROUGH,-1,0.9999872817922989,-0.004984614027403029,-0.0007680342748372186,0.9,1.4462171126605603,1.4923100413894046,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,16,0.0,20.0,2.0,0.0,20.0,2.0,1,
8,0.3,0.033333,0.003870476735755801,10.011513710021973,2.01094126701355,-0.01188058449177337,-0.26856571435928345,0.12350063017661612,-0.057008043423492485,0.0362161571963896,0.14076197182147496,0.0,20.0,2.0,0.9999263231963028,0.012097326340122208,-0.001001436240505394,0.9,0.13190482556819916,-0.15532226860523224,0.018685603514313698,-0.6634488105773926,blocked,BLOCKED_BY_OBSERVED_OBSTACLE,BLOCKED_BY_OBSERVED_OBSTACLE,0,0,,0,1,PASS_THROUGH,-1,0.9999872817922989,-0.004984614027403029,-0.0007680342748372186,0.9,1.4431024648485478,1.488487791494423,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,16,0.0,20.0,2.0,0.0,20.0,2.0,1,
9,0.333333,0.033333,0.006296006962656975,10.015860557556152,2.0117697715759277,-0.022185460524067745,-0.31460040807724,0.13764028933592326,-0.07753868049071845,0.03250776672804544,0.16128809974193206,0.0,20.0,2.0,0.9997446419003119,0.02257102387103913,-0.0010953871598179132,0.9,0.10838282108306885,-0.13506104052066803,0.022214114665985107,-0.624081552028656,blocked,BLOCKED_BY_OBSERVED_OBSTACLE,BLOCKED_BY_OBSERVED_OBSTACLE,0,0,,0,1,PASS_THROUGH,-1,0.9999872817922989,-0.004984614027403029,-0.0007680342748372186,0.9,1.439225743019954,1.4841434190267977,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,16,0.0,20.0,2.0,0.0,20.0,2.0,1,
