episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-5.867942221016165e-08,8.0,2.000580310821533,2.159845280732108,0.0,1.7317376743223894e-06,-7.002161548274508e-06,0.030892416281856492,0.0308924171239593,0.0,16.0,2.0,-0.5555705085595591,-0.8314694281925661,0.0,0.9,0.009033584967255592,-0.03845132514834404,0.011144228279590607,-0.492058128118515,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,-0.5555705085595591,-0.8314694281925661,0.0,0.9,inf,3.637924000698646,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,18,0.0,16.0,2.0,0.0,16.0,2.0,1,
1,0.066667,0.033333,-1.9230544694437413e-06,8.0,2.00180983543396,2.159795466489237,-0.004369919653981924,6.799078254194984e-05,-9.530258008215977e-05,0.039911174503867164,0.039911346201380093,0.0,16.0,2.0,-0.5555290934876338,-0.8314970962227847,-7.253885250080484e-05,0.9,0.035515572875738144,-0.02675284817814827,0.0007641292177140713,-0.8814022541046143,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.5555705085595591,-0.8314694281925661,0.0,0.9,inf,3.637923384801946,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,18,0.0,16.0,2.0,0.0,16.0,2.0,1,
2,0.1,0.033333,-1.8573826309875585e-05,7.99999475479126,2.003089189529419,2.1594205573932266,-0.02025446854531765,0.0009233700752275464,-0.00014061779339280152,0.035265057150820844,0.03527742396363863,0.0,16.0,2.0,-0.5552174997076638,-0.8317051622051039,-0.00022622942345580543,0.9,0.019345231354236603,-0.009511053562164307,-0.011783739551901817,-1.1609199047088623,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.5555705085595591,-0.8314694281925661,0.0,0.9,inf,3.6379228349898907,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,18,0.0,16.0,2.0,0.0,16.0,2.0,1,
3,0.133333,0.033333,-7.29501189198345e-05,7.999949932098389,2.0040860176086426,2.1582751422684865,-0.05135113000869751,0.003002790396717214,0.0006196164089070154,0.02389288966012756,0.02408881173847798,0.0,16.0,2.0,-0.5542661932747034,-0.8323393766260103,-0.00038614840920826965,0.9,-0.016934501007199287,0.010936385951936245,-0.024267077445983887,-1.319279670715332,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.5555705085595591,-0.8314694281925661,0.0,0.9,inf,3.6379471788483193,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,18,0.0,16.0,2.0,0.0,16.0,2.0,1,
4,0.166667,0.033333,-0.0001491422444814816,7.999823093414307,2.0046613216400146,2.155846933543318,-0.09863723069429398,0.004522063256622776,0.0033810364281115684,0.01066532223189579,0.01206770739350627,0.0,16.0,2.0,-0.5522491031488965,-0.8336789953014059,-0.0005107489379245836,0.9,-0.049465861171483994,0.030694931745529175,-0.03432555869221687,-1.399964451789856,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.5555705085595591,-0.8314694281925661,0.0,0.9,inf,3.6380417303207797,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,18,0.0,16.0,2.0,0.0,16.0,2.0,1,
5,0.2,0.033333,-0.00014796647883486003,7.9995832443237305,2.0048201084136963,2.151600508945427,-0.1599033921957016,0.0025036214786219833,0.009086408111707436,-0.0003365905585798715,0.009431024657206934,0.0,16.0,2.0,-0.5487119200351769,-0.8360112973684616,-0.0005826522216210328,0.9,-0.07111671566963196,0.045111700892448425,-0.03722333163022995,-1.4349538087844849,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.5555705085595591,-0.8314694281925661,0.0,0.9,inf,3.6382685066957223,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,18,0.0,16.0,2.0,0.0,16.0,2.0,1,
6,0.233333,0.033333,0.00010639792162692174,7.999227523803711,2.0046801567077637,2.145037443880633,-0.2312426120042801,-0.0050156594586796294,0.017775214133761423,-0.006379832311592937,0.019540146817016487,0.0,16.0,2.0,-0.5432132151258076,-0.8395945687818942,-0.0006024820562802991,0.9,-0.08528434485197067,0.05169907212257385,-0.03359394893050194,-1.4460394382476807,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,-0.5432133137148579,-0.8395947211618969,0.0,0.9,inf,3.6386179945153994,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,18,0.0,16.0,2.0,0.0,16.0,2.0,1,
7,0.266667,0.033333,0.0008136868709698319,7.998775959014893,2.00439453125,2.135856003091514,-0.3091672956943512,-0.01801183747986753,0.02841407838693498,-0.007726722012851595,0.034517942769578994,0.0,16.0,2.0,-0.5354548940192992,-0.8445636235885752,-0.0005849630045776236,0.9,-0.09337522089481354,0.053023166954517365,-0.028210490942001343,-1.4455074071884155,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.5432132151258076,-0.8395945687818942,-0.0006024820562802991,0.9,inf,3.6388107017186795,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,18,0.0,16.0,2.0,0.0,16.0,2.0,1,
8,0.3,0.033333,0.002130627166479826,7.998265266418457,2.004066228866577,2.1240213786227584,-0.3913919925689697,-0.03489139472162123,0.03928878004285971,-0.0068455353092125495,0.052989423629115504,0.0,16.0,2.0,-0.5253473338985895,-0.8508876994701128,-0.0005492322852037448,0.9,-0.09846896678209305,0.05259187892079353,-0.024188537150621414,-1.4408855438232422,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.5432132151258076,-0.8395945687818942,-0.0006024820562802991,0.9,inf,3.638858296930781,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,18,0.0,16.0,2.0,0.0,16.0,2.0,1,
9,0.333333,0.033333,0.004126674961298704,7.997739315032959,2.0037283897399902,2.1095976596932844,-0.47651907801628113,-0.053398834127490566,0.04865028594020796,-0.006100108744560844,0.07249480764120086,0.0,16.0,2.0,-0.512878884374066,-0.8584608271366605,-0.00050816833259202,0.9,-0.10445968806743622,0.05110287666320801,-0.021898433566093445,-1.4382230043411255,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.5432132151258076,-0.8395945687818942,-0.0006024820562802991,0.9,inf,3.6386970792906923,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,18,0.0,16.0,2.0,0.0,16.0,2.0,1,
