episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,2.2332692140025756e-07,6.0,2.000575065612793,-2.68135098206738,0.0,1.1705372866431531e-05,1.6997434316171782e-05,0.03046384583157786,0.03046385282229861,0.0,18.0,2.0,-0.895945181744658,0.44416464437022873,0.0,0.9,0.06258654594421387,0.09186343848705292,-0.003302917117252946,0.522933304309845,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,-0.895945181744658,0.44416464437022873,0.0,0.9,inf,5.561168669553259,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,19,0.0,18.0,2.0,0.0,18.0,2.0,1,
1,0.066667,0.033333,6.443024631153094e-06,5.999998569488525,2.001807451248169,-2.6813002269910267,0.004450613632798195,0.00027446919773474866,0.00025649053916257706,0.04119146825983127,0.04119318120924714,0.0,18.0,2.0,-0.8959226442184663,0.4442101003805075,-4.792213434438672e-05,0.9,0.12462391704320908,0.08110497146844864,-0.004502492491155863,0.7604362964630127,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.895945181744658,0.44416464437022873,0.0,0.9,inf,5.561168649348295,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,19,0.0,18.0,2.0,0.0,18.0,2.0,1,
2,0.1,0.033333,4.8721456550993025e-05,5.999962329864502,2.003199338912964,-2.680917750780082,0.020544741302728653,0.0026189115883533754,0.0009351433663767859,0.041067054728877284,0.04116110026624522,0.0,18.0,2.0,-0.895752900178059,0.44455226817094934,-0.00015062091768343474,0.9,0.1046079695224762,0.07223542034626007,-0.00864978227764368,0.9569565653800964,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.895945181744658,0.44416464437022873,0.0,0.9,inf,5.561194334326784,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,19,0.0,18.0,2.0,0.0,18.0,2.0,1,
3,0.133333,0.033333,0.00018551333050709218,5.999800205230713,2.0044732093811035,-2.679749101956721,0.05145465210080147,0.008774067752011807,0.0018570252242860448,0.035017998457542915,0.03614820913369023,0.0,18.0,2.0,-0.8952343113898026,0.4455956200740138,-0.00026661072966405246,0.9,0.0457284078001976,0.06591157615184784,-0.013604982756078243,1.089954137802124,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.895945181744658,0.44416464437022873,0.0,0.9,inf,5.561321138703872,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,19,0.0,18.0,2.0,0.0,18.0,2.0,1,
4,0.166667,0.033333,0.0004552316968329251,5.99943733215332,2.0054948329925537,-2.677311107425302,0.09704147279262543,0.016394150862817876,0.0025991448764717717,0.026647539831603624,0.03139450773110837,0.0,18.0,2.0,-0.8941503660703545,0.4477666623424825,-0.0003727612161707928,0.9,-0.009892941452562809,0.0626072958111763,-0.01935506984591484,1.1758928298950195,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.895945181744658,0.44416464437022873,0.0,0.9,inf,5.5616132537867085,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,19,0.0,18.0,2.0,0.0,18.0,2.0,1,
5,0.2,0.033333,0.0008283298229798675,5.998913764953613,2.006211757659912,-2.6731595593747906,0.1550019383430481,0.02024715590923581,0.0029517709336904802,0.016395072253760967,0.02621943302712561,0.0,18.0,2.0,-0.8922938562420452,0.45145483102684647,-0.00045788123146194856,0.9,-0.0495852492749691,0.0633452981710434,-0.02756238356232643,1.2544631958007812,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.895945181744658,0.44416464437022873,0.0,0.9,inf,5.562038409738224,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,19,0.0,18.0,2.0,0.0,18.0,2.0,1,
6,0.233333,0.033333,0.0012068486539646983,5.998407363891602,2.006568193435669,-2.6668951342898763,0.2226705700159073,0.015860144394270227,0.0032270490604811948,0.004220217570856406,0.0167262746058774,0.0,18.0,2.0,-0.8894624432235216,0.45700798043967594,-0.0005175995481877356,0.9,-0.07880527526140213,0.06699135154485703,-0.037589192390441895,1.3279144763946533,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,-0.8894625623711724,0.45700804165803055,0.0,0.9,inf,5.562445654936288,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,19,0.0,18.0,2.0,0.0,18.0,2.0,1,
7,0.266667,0.033333,0.0014653095277026296,5.998177528381348,2.0065150260925293,-2.658255885761397,0.2977454364299774,0.0018721000254085349,0.004230789075975099,-0.00798124207753202,0.009225213266407043,0.0,18.0,2.0,-0.8854957334138188,0.46464718507067243,-0.0005472767338456158,0.9,-0.09743383526802063,0.0688381940126419,-0.04615117236971855,1.377111792564392,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.8894624432235216,0.45700798043967594,-0.0005175995481877356,0.9,inf,5.562610831561659,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,19,0.0,18.0,2.0,0.0,18.0,2.0,1,
8,0.3,0.033333,0.0014975195517763495,5.998481750488281,2.0060575008392334,-2.64713070782558,0.37854188680648804,-0.019754009225237755,0.006826426331588723,-0.017781910644160133,0.02744116111042464,0.0,18.0,2.0,-0.8802819780592518,0.47445057111655553,-0.0005428363150249321,0.9,-0.10624601691961288,0.06687284260988235,-0.05053466185927391,1.4028129577636719,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.8894624432235216,0.45700798043967594,-0.0005175995481877356,0.9,inf,5.562307237313151,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,19,0.0,18.0,2.0,0.0,18.0,2.0,1,
9,0.333333,0.033333,0.0012452907394617796,5.999507427215576,2.005263328552246,-2.6333847168782847,0.46355757117271423,-0.04502427625622614,0.011410320032776873,-0.024220075127832707,0.05238313559577376,0.0,18.0,2.0,-0.8736785504979858,0.48650337681210043,-0.0005047278098126658,0.9,-0.11275631189346313,0.0628897175192833,-0.05058831721544266,1.4146593809127808,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,-0.8894624432235216,0.45700798043967594,-0.0005175995481877356,0.9,inf,5.5613655834335605,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,GOAL_OUTSIDE_FOV,1,19,0.0,18.0,2.0,0.0,18.0,2.0,1,
