episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
0,0.033333,0.033333,-2.0,7.0,2.000579595565796,0.42809555986028536,0.0,1.1573465524978875e-05,-8.76556082050659e-06,0.03083012782471496,0.03083013124312682,2.0,17.0,2.0,0.6905103579016575,-0.7233225045790606,0.0,0.9,0.06303529441356659,-0.04739347845315933,0.009164351969957352,-0.4262121915817261,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.6905103579016575,-0.7233225045790606,0.0,0.9,4.150301193889427,4.435871324805669,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
1,0.066667,0.033333,-1.999999761581421,7.000004768371582,2.001826047897339,0.4280452646906034,-0.004408290609717369,0.0002607721298479819,-0.0001491330024182637,0.041503153836849146,0.04150424100211063,2.0,17.0,2.0,0.6905467356564887,-0.7232877732812923,-5.381409722027288e-05,0.9,0.11595945060253143,-0.052738357335329056,0.005355974659323692,-0.7245274186134338,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6905103579016575,-0.7233225045790606,0.0,0.9,4.150301193889427,4.435866561993544,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
2,0.1,0.033333,-2.0000033378601074,7.00005578994751,2.003232479095459,0.4276493916928041,-0.02173420414328575,0.0024403905938159753,-0.0008331173826670369,0.04186145170844814,0.04194080030188293,2.0,17.0,2.0,0.6908328986871449,-0.7230144378546164,-0.00016954435956300536,0.9,0.1427282691001892,-0.05876808613538742,0.0015571037074550986,-1.0156452655792236,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6905103579016575,-0.7233225045790606,0.0,0.9,4.150296422991593,4.435816329958897,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
3,0.133333,0.033333,-2.0000338554382324,7.000274658203125,2.0045595169067383,0.42639134811380824,-0.054576028138399124,0.009313861931562544,-0.0026156751599381535,0.037620325483272266,0.038844287483359406,2.0,17.0,2.0,0.6917404210616843,-0.7221461761940309,-0.0003001295447946011,0.9,0.1457129865884781,-0.06059299781918526,-0.0024326767306774855,-1.2461415529251099,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6905103579016575,-0.7233225045790606,0.0,0.9,4.150245367779274,4.4356026571879115,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
4,0.166667,0.033333,-2.0001256465911865,7.000838279724121,2.0056934356689453,0.42372614214183746,-0.10140988230705261,0.021870701852975905,-0.005715064298235119,0.031728475794043004,0.03895748625986921,2.0,17.0,2.0,0.693655267891827,-0.7203070110034249,-0.0004233500086009392,0.9,0.13481970131397247,-0.061707668006420135,-0.005935365799814463,-1.3655223846435547,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6905103579016575,-0.7233225045790606,0.0,0.9,4.150026147863837,4.435053991484915,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
5,0.2,0.033333,-2.0003013610839844,7.001902103424072,2.0066027641296387,0.41923975253908363,-0.15990884602069855,0.038339399806174436,-0.009812187736627606,0.026381765513629106,0.04756244482038979,2.0,17.0,2.0,0.6968602033456861,-0.7172067885300962,-0.0005286580699307369,0.9,0.12201380729675293,-0.06330473721027374,-0.006719538941979408,-1.4120670557022095,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,0,1,PASS_THROUGH,-1,0.6905103579016575,-0.7233225045790606,0.0,0.9,4.149461462904632,4.434018703568353,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
6,0.233333,0.033333,-2.0005593299865723,7.003538608551025,2.0073235034942627,0.412664276167274,-0.22776347398757935,0.05536895998999204,-0.014308815655780129,0.02229188345117379,0.061379084415174805,2.0,17.0,2.0,0.7015241022821853,-0.7126454644281426,-0.0006131453096645791,0.9,0.11064570397138596,-0.06341996043920517,-0.005518084391951561,-1.425779938697815,blocked,NO_SAFE_CANDIDATE,NO_SAFE_CANDIDATE,0,0,,1,1,PASS_THROUGH,-1,0.7015242341502232,-0.7126455983867035,0.0,0.9,4.148395607254417,4.432424658658503,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
7,0.266667,0.033333,-2.0008676052093506,7.00571346282959,2.007910966873169,0.4037755751184175,-0.3029222786426544,0.06983881377993773,-0.01861419124229379,0.0188685837957654,0.07469920669091024,2.0,17.0,2.0,0.7077751698848291,-0.7064374326653781,-0.0006801644291979389,0.9,0.10234080255031586,-0.06211245805025101,-0.004325043875724077,-1.4249513149261475,direct,SAFE_PROGRESSING,NONE,1,0,"-2.001,7.004;-1.815,7.468;-1.629,7.932;-1.443,8.396;-1.257,8.860;-1.072,9.325;-0.886,9.789",0,1,PASS_THROUGH,-1,0.7015241022821853,-0.7126454644281426,-0.0006131453096645791,0.9,4.146756135900488,4.43030216730085,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
8,0.3,0.033333,-2.0011770725250244,7.0083136558532715,2.0084033012390137,0.39235181003950864,-0.38359397649765015,0.08001102081536549,-0.022283900723980576,0.015641044387135043,0.084516140191761,2.0,17.0,2.0,0.7157279744504917,-0.6983787844556552,-0.0007348545691707053,0.9,0.09791907668113708,-0.06094852462410927,-0.0037316717207431793,-1.419244408607483,direct,SAFE_PROGRESSING,NONE,1,0,"-2.001,7.006;-1.815,7.470;-1.629,7.934;-1.443,8.398;-1.258,8.862;-1.072,9.327;-0.886,9.791",0,1,PASS_THROUGH,-1,0.7015241022821853,-0.7126454644281426,-0.0006131453096645791,0.9,4.144598703786851,4.427757594680823,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
9,0.333333,0.033333,-2.001438617706299,7.011196613311768,2.008824348449707,0.3781947359528474,-0.4681590497493744,0.08581807918522427,-0.02510600953853458,0.012978173178384322,0.09035201939657214,2.0,17.0,2.0,0.7254627347171385,-0.6882610049676853,-0.0007807545086548986,0.9,0.09518064558506012,-0.06076173484325409,-0.0028453220147639513,-1.4179331064224243,direct,SAFE_PROGRESSING,NONE,1,0,"-2.001,7.008;-1.815,7.472;-1.629,7.937;-1.444,8.401;-1.258,8.865;-1.072,9.329;-0.886,9.793",0,1,PASS_THROUGH,-1,0.7015241022821853,-0.7126454644281426,-0.0006131453096645791,0.9,4.142002518835995,4.42492663049924,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
10,0.366667,0.033333,-2.001617908477783,7.014232635498047,2.0092015266418457,0.36116329818783816,-0.5552401542663574,0.08842109917516743,-0.027137262053856734,0.011483636342177082,0.09320190810688296,2.0,17.0,2.0,0.7369964396010009,-0.6758961277441514,-0.0008200706737721963,0.9,0.09247736632823944,-0.062015779316425323,-0.0011255427962169051,-1.4259889125823975,direct,SAFE_PROGRESSING,NONE,1,0,"-2.001,7.011;-1.816,7.475;-1.630,7.939;-1.444,8.404;-1.258,8.868;-1.072,9.332;-0.886,9.796",0,1,PASS_THROUGH,-1,0.7015241022821853,-0.7126454644281426,-0.0006131453096645791,0.9,4.139123023667395,4.421933922378304,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
11,0.4,0.033333,-2.001694679260254,7.0173420906066895,2.009564161300659,0.34118773953073117,-0.6434150338172913,0.08939347615698018,-0.028659168569307093,0.011141457744356587,0.09453398120877926,2.0,17.0,2.0,0.7502702813599869,-0.6611306779289703,-0.0008553415611607551,0.9,0.0887061282992363,-0.063661590218544,0.0009336228831671178,-1.4385511875152588,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-2.002,7.014;-1.857,7.493;-1.712,7.971;-1.567,8.450;-1.422,8.928;-1.277,9.407;-1.133,9.886",0,1,PASS_THROUGH,-1,0.7015241022821853,-0.7126454644281426,-0.0006131453096645791,0.9,4.13854560002069,4.4188560777422,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
12,0.433333,0.033333,-2.0016579627990723,7.020488739013672,2.0099282264709473,0.3183357370847885,-0.7260671257972717,0.09000861587379459,-0.030053482612398263,0.011344147478326821,0.09556909767628897,2.0,17.0,2.0,0.7651077006685445,-0.6439017126443347,-0.0008892870094440658,0.9,0.08382982760667801,-0.06463836133480072,0.00273915589787066,-1.4492874145507812,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-2.002,7.017;-1.857,7.496;-1.712,7.974;-1.567,8.453;-1.422,8.932;-1.277,9.410;-1.132,9.889",1,1,PASS_THROUGH,-1,0.7651080032043155,-0.6439019672533275,0.0,0.9,4.232933543296129,4.415727734086968,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
13,0.466667,0.033333,-2.0014967918395996,7.023670673370361,2.0102970600128174,0.29291332378218904,-0.796991765499115,0.09089747202269609,-0.03162565779641889,0.011518574200100232,0.09692889250773591,2.0,17.0,2.0,0.7811622160981032,-0.6243274297124686,-0.0009233901248928135,0.9,0.07823105901479721,-0.0643552616238594,0.003957631066441536,-1.455698847770691,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-2.002,7.020;-1.857,7.499;-1.712,7.978;-1.567,8.456;-1.422,8.935;-1.277,9.413;-1.132,9.892",0,1,PASS_THROUGH,-1,0.7651077006685445,-0.6439017126443347,-0.0008892870094440658,0.9,4.229826716537063,4.412549446904991,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
14,0.5,0.033333,-2.0011980533599854,7.026894569396973,2.010662794113159,0.26535553303834436,-0.854000449180603,0.09206615031109525,-0.03348184233376985,0.011385913817552147,0.09862478812463593,2.0,17.0,2.0,0.7980104911631462,-0.6026427949468868,-0.0009579625039430864,0.9,0.07310660183429718,-0.06395561993122101,0.004705741535872221,-1.458573341369629,local_avoidance,SAFE_PROGRESSING,NONE,1,0,"-2.001,7.024;-1.857,7.502;-1.712,7.981;-1.567,8.459;-1.422,8.938;-1.277,9.416;-1.132,9.895",0,1,PASS_THROUGH,-1,0.7651077006685445,-0.6439017126443347,-0.0008892870094440658,0.9,4.226643052908479,4.409312999130436,0.0,0,0,1,DIRECT_LOCAL,PASS_THROUGH,0,BLOCKED_UNKNOWN_OCCLUDED,1,20,2.0,17.0,2.0,2.0,17.0,2.0,1,
